Artist,Tagline,Date,Start Time,End Time,Stage,Genre,Country,Bio,Website,AI Summary,AI Rating,Spotify Link,Number of People in Act,Gender of Front Person,Front Person of Color?,Cancelled,Festival URL,Festival Bio (NL),Festival Bio (EN),Social Links,Images Scraped
Eurydice,"Mythic rock, reborn and electrified",,,,,rock/progressive rock/alternative/alternative rock,Netherlands,Alternative rock with a mythological twist.,https://www.instagram.com/eurydice_band/,"Eurydice combines the raw energy of alternative rock with a unique thematic focus on mythological narratives, creating a distinctive and evocative sound that sets them apart in the genre.",8,https://open.spotify.com/artist/7iY2EYh4gAOcWg8NYpJXi8,3,Band,No,,https://www.podiumvictorie.nl/programma/alkmaarseigenste2026/,,,,Yes
Grey van Leeuwen,Dreamscapes woven with raw emotion,,,,,singer-songwriter/indie folk/ambient pop/alternative pop/dream pop,Netherlands,"Grey van Leeuwen is a 19-year-old singer-songwriter and producer from Den Helder. His music blends raw emotion with dreamy soundscapes, drawing inspiration from artists like RY X and Bon Iver. Through intimate compositions and immersive arrangements, Grey creates a unique atmosphere that resonates deeply and leaves a lasting impression.",https://www.instagram.com/gr3y.wav/,"Grey van Leeuwen's music is characterized by its fusion of heartfelt emotion and ethereal soundscapes, drawing clear inspiration from artists like RY X and Bon Iver. His work focuses on creating an intimate and atmospheric listening experience, showcasing a mature and evocative songwriting style for his age. His ability to craft immersive arrangements suggests a strong potential for growth and recognition in the indie and dream pop genres.",9,https://open.spotify.com/artist/36to5NBakAAN7Kcqi45eHw,1,Male,No,,https://www.podiumvictorie.nl/programma/alkmaarseigenste2026/,,,,Yes
Jill van der Meer,,,,,,,Netherlands,,HAS_NO_WEBSITE,,,NOT ON SPOTIFY,1,Female,No,,https://www.podiumvictorie.nl/programma/alkmaarseigenste2026/,,,,
JULIA,,,,,,,Netherlands,"[using festival bio due to a lack of publicly available data] Singer-songwriter JULIA besloot nog maar pas geleden om onder haar eigen naam op te treden, en switchte ook nog maar net van Nederlands naar Engels. Zo gaat dat als je 20 jaar bent, volop leert aan Wisseloord Studio’s en tjokvol ambitie zit. Hou haar in de gaten!",,,,NOT ON SPOTIFY,1,Female,,,https://www.podiumvictorie.nl/programma/alkmaarseigenste2026/,"Singer-songwriter JULIA besloot nog maar pas geleden om onder haar eigen naam op te treden, en switchte ook nog maar net van Nederlands naar Engels. Zo gaat dat als je 20 jaar bent, volop leert aan Wisseloord Studio’s en tjokvol ambitie zit. Hou haar in de gaten!",,,
Krappe Sokken,Dutch grooves with Saturday soul.,,,,,pop rock/indie pop/alternative/alternative pop/dance pop,Netherlands,"Krappe Sokken is a band from the Alkmaar and West Friesland region, recognized for their memorable song about the Karperton parking garage. Over time, their sound has evolved while their name—an expression from the local dialect meaning “just enough to make it work”—remains the same. In summer 2025, the band released their EP Saturday Spice, a reflection of their musical journey. Featuring five tracks with a cheerful and danceable character, the EP showcases the diverse influences each member brings during their weekly Saturday writing sessions.",https://www.instagram.com/krappesokkenband/,"Krappe Sokken is a Dutch band known for their unique blend of local cultural references and a cheerful, danceable sound. Their 2025 EP 'Saturday Spice' highlights their evolution and the collaborative creativity of their weekly writing sessions, incorporating diverse musical influences.",8,https://open.spotify.com/artist/2iqC2qUkuVcpj8eOfGeZCt,6,Female,No,,https://www.podiumvictorie.nl/programma/alkmaarseigenste2026/,KRAPPE SOKKEN is natuurlijk geen nieuweling op Alkmaars Eigenste en de band heeft de afgelopen jaren Alkmaar misschien wel een beetje uitgespeeld? De uitbundige pret punk rock van het vijftal spreekt nou eenmaal enorm aan en is klaar om zijn grenzen te verleggen. Doorbreken maar!,,,Yes
Liquid Desert,Gritty riffs born from the sand.,,,,,rock/grunge,Netherlands,"LIQUID DESERT is a rock band formed during a band night in Alkmaar. What started as a casual conversation about music quickly turned into a powerful collaboration. Cas (drums) and Duncan (bass) were searching for a new bandmate when Zilt (guitar and vocals) joined, completing the lineup. Since January 2024, the trio has been creating music together with raw energy and a passion they aim to share with every audience. Their sound reflects the gritty origins of their formation—intense, unpolished, and ready to ignite any stage.",https://www.instagram.com/liquid_desert/,"Liquid Desert delivers an intense and unpolished rock sound, driven by raw energy and a passion for live performance. Formed in Alkmaar, the trio's music captures the gritty essence of their origins, blending powerful drumming, deep basslines, and emotive guitar and vocals.",9,https://open.spotify.com/artist/3XdF3ZdCHI8W3UjE5YQE8R,3,Male,No,,https://www.podiumvictorie.nl/programma/alkmaarseigenste2026/,,,,Yes
Loud Wednesdays,Where folkpop whispers turn loud.,,,,,folkpop,Netherlands,"Loud Wednesdays is a Dutch band rooted in the northern region of North Holland. Their music blends original folkpop compositions with covers of artists like The Jayhawks, The Shins, and Ben Harper, focusing on emotion and uncovering hidden musical gems. Known for their acoustic style, they avoid heavy electric guitars and elaborate drum setups.",https://loudwednesdays.nl/,"Loud Wednesdays crafts an emotive and intimate sound by combining original folkpop songs with acoustic renditions of tracks by artists such as The Jayhawks, The Shins, and Ben Harper. Their focus on stripped-down instrumentation and emotional resonance sets them apart from more heavily produced acts, offering a refreshing and heartfelt listening experience.",8,NOT ON SPOTIFY,4,Male,No,,https://www.podiumvictorie.nl/programma/alkmaarseigenste2026/,,,,Yes
Magnoliac,"Echoes of dreams, shadows of sound",,,,,shoegaze/dream pop/post-punk/indie rock/ambient,Netherlands,"Magnoliac is a band that blends shoegaze, dream pop, and post-punk with a fresh, distinctive twist. Drawing inspiration from iconic acts like My Bloody Valentine, Slowdive, Interpol, and Joy Division, their music combines heavy, textured guitars with ethereal soundscapes and driving rhythms. Atmosphere and emotion are at the heart of their sound, ranging from introspective tracks to feel-good indie moments. Each song is crafted to maintain its own unique identity while contributing to the band’s immersive sonic palette.",https://www.instagram.com/magnoliacband/,"Magnoliac crafts a distinctive sound by merging the lush textures of shoegaze and dream pop with the rhythmic intensity of post-punk. Drawing from influences like My Bloody Valentine and Joy Division, their music balances heavy, layered guitars with atmospheric soundscapes and emotional depth, creating tracks that are both introspective and uplifting.",9,https://open.spotify.com/artist/2xmCkJCVzkVPEPCo3MAorM,5,Band,No,,https://www.podiumvictorie.nl/programma/alkmaarseigenste2026/,,,,Yes
Marigold,,,,,,,Netherlands,"[using festival bio due to a lack of publicly available data] MARIGOLD maakt mooie ingetogen songs met een bezetting van (contra)bas, gitaar en piano. Robin (zang, gitaar) en bassist Jeroen verruilden Alkmaar inmiddels voor Utrecht, waar ze op het conservatorium de band oprichtten, samen met pianist Rink. Maar op AE kunnen we ze laten zien en horen wat ze missen :)",,,,NOT ON SPOTIFY,3,Male,,,https://www.podiumvictorie.nl/programma/alkmaarseigenste2026/,"MARIGOLD maakt mooie ingetogen songs met een bezetting van (contra)bas, gitaar en piano. Robin (zang, gitaar) en bassist Jeroen verruilden Alkmaar inmiddels voor Utrecht, waar ze op het conservatorium de band oprichtten, samen met pianist Rink. Maar op AE kunnen we ze laten zien en horen wat ze missen :)",,,
Mia Chauvin,,,,,,,Netherlands,,,,,NOT ON SPOTIFY,,,,,https://www.podiumvictorie.nl/programma/alkmaarseigenste2026/,,,,
Orchestre Partout,Uniting worlds through boundless music.,,,,,world music/folk/traditional/jazz/fusion/improvisational music,Netherlands,"Orchestre Partout is a Dutch music initiative founded in 2010 with the mission to connect people through the universal language of music. The organization brings together newcomers and Dutch musicians to create inclusive musical experiences. Through workshops, grassroots bands in refugee centers, professional ensembles, and collaborative projects, Orchestre Partout promotes cultural exchange and improvisation. Their activities range from intimate jams and family concerts to large-scale collaborations with renowned ensembles, all aimed at celebrating diversity and fostering creativity.",https://orchestrepartout.nl/en/,"Orchestre Partout is a unique Dutch music initiative that blends cultural exchange and improvisation to create inclusive musical experiences. By uniting newcomers and local musicians, they foster diversity and creativity through workshops, refugee center bands, and collaborations with professional ensembles. Their focus on grassroots music-making and large-scale projects highlights their commitment to celebrating cultural diversity and the power of music as a universal language.",9,NOT ON SPOTIFY,,Band,Yes,,https://www.podiumvictorie.nl/programma/alkmaarseigenste2026/,Al jaren treedt ORCHESTRE PARTOUT in wisselende bezetting op door heel Nederland. Het ensemble van nieuwkomers en nederlandse muzikanten spreekt dan de universele taal van de muziek vanuit de overtuiging dat iedere stem meetelt en klinkt. Laat je meeslepen door muziek van overal!,,,Yes
Selma Peelen,Alt-pop noir with a fierce soul,,,,,alt-pop-noir/art pop/dark folk/gothic/indie folk/punk-influenced/alternative,Netherlands,"Selma Peelen is an Amsterdam-based artist whose music blends alt-pop-noir with elements of folk, punk, and gothic influences. Known for her wide vocal range and emotionally charged performances, Selma crafts songs that are both fragile and powerful, often exploring themes of feminism, sexual freedom, self-discovery, and love’s complexities. Inspired by artists like PJ Harvey, Chelsea Wolfe, and Emma Ruth Rundle, her sound combines edgy lyrics with dynamic arrangements. After early releases such as Umbrellas (2008) and Crossing The Rubicon (2014), Selma returned with Like Armour in 2023 and, in 2025, released In The Boy’s Room with bandmates Iris van Huis (bass) and Sophie Neijts (drums), marking a bold new chapter in her artistic journey.",https://selmapeelen.nl/,"Blending alt-pop-noir with folk, punk, and gothic elements, Selma Peelen delivers a unique and emotionally resonant sound. Her wide vocal range and dynamic arrangements, inspired by artists like PJ Harvey and Chelsea Wolfe, amplify her exploration of themes such as feminism, self-discovery, and love. With a strong return marked by Like Armour (2023) and the collaborative In The Boy’s Room (2025), Selma demonstrates a bold evolution in her artistry.",9,https://open.spotify.com/artist/447unpy6btdhXym28doHHs,3,Female,No,,https://www.podiumvictorie.nl/programma/alkmaarseigenste2026/,De sound van SELMA PEELEN deed twee jaar terug al behoorlijk wat stof opwaaien in de kleine zaal.. Beluister vooral de gloednieuwe EP In the Boys Room: super-eigen duistere folk om langzaam in verstrikt te raken. Deze keer in de grote zaal!,,,
Strak Plan,"Dutch grooves, ska moves, pure joy.",,,,,reggae/ska/nederpop/dance pop,Netherlands,"Strak Plan is a four-piece Dutch band delivering a fresh take on Nederpop with a vibrant mix of reggae and danceable ska. Known for catchy lyrics, infectious grooves, and high-energy performances, they bring a modern twist to the classic sounds of the 1980s. Their repertoire includes original tracks alongside well-known sing-along favorites, ensuring every show is a lively celebration that gets the crowd moving.",https://www.strakplanmuziek.nl/,"Strak Plan stands out with their innovative fusion of Nederpop, reggae, and ska, creating a nostalgic yet modern sound inspired by the 1980s. Their energetic live shows, characterized by infectious grooves and sing-along tracks, make them a dynamic presence in the Dutch music scene.",9,https://open.spotify.com/artist/75MsKtOdFkYbNe6hOeeitD,4,Male,No,,https://www.podiumvictorie.nl/programma/alkmaarseigenste2026/,,,,Yes
TEASE,Indie rock with a shoegaze twist,,,,,indie rock/shoegaze/post-punk/alternative rock,Netherlands,"Formerly known as NO SIGNAL, TEASE delivers fresh indie rock infused with a strong dose of shoegaze and a touch of post-punk. Their music is energetic, danceable, and experimental—a blend of styles born from throwing musical ideas into a creative blender. With this unique approach, TEASE offers a sound that feels both familiar and refreshingly new, perfect for fans of indie with an edgy twist.",https://www.instagram.com/tease_band,"TEASE combines indie rock with shoegaze and post-punk elements, creating an energetic and experimental sound. Their music is described as both danceable and innovative, appealing to fans of edgy and fresh indie styles.",9,NOT ON SPOTIFY,4,Female,No,,https://www.podiumvictorie.nl/programma/alkmaarseigenste2026/,"Voormalig bekend als NO SIGNAL, TEASE produceert nieuwe indie rock met een goede scheut shoegaze en een vleugje postpunk. Ze gooiten muzikale ideeën in een blender om iets nieuws te creeën. Dansbare Indie-rock met een goeie scheut post-punk.",,,Yes
Wildfires,Reviving rock’s golden flames.,,,,,classic rock,Netherlands,"The Wildfires is a young rock band from Alkmaar, consisting of four 18-year-old passionate musicians. Drawing inspiration from 70s and 90s classic rock bands like Led Zeppelin, Jimi Hendrix, and Red Hot Chili Peppers, they have developed their own sound with screaming guitars, groovy rhythms, and swinging melodies. They were crowned winners of Popmania 2025, showcasing that classic rock is still alive and kicking.",https://www.thewildfires.nl/,"The Wildfires are a vibrant young rock band from the Netherlands, blending the raw energy of 70s and 90s classic rock influences like Led Zeppelin, Jimi Hendrix, and Red Hot Chili Peppers into a fresh and dynamic sound. Their music is characterized by powerful guitar riffs, groovy rhythms, and infectious melodies, proving that classic rock can still resonate with modern audiences. Winning Popmania 2025 highlights their potential as torchbearers for the genre.",9,https://open.spotify.com/artist/7Jkdm3sXd9xwWsaD7puRSq,4,Male,No,,https://www.podiumvictorie.nl/programma/alkmaarseigenste2026/,,,,
