Artist,Tagline,Date,Start Time,End Time,Stage,Genre,Country,Bio,Website,Spotify,YouTube,Instagram,Photo URL,AI Summary,AI Rating,Number of People in Act,Gender of Front Person,Front Person of Color?,Cancelled,Festival URL,Festival Bio (NL),Festival Bio (EN),Social Links,Images Scraped
Heartland Drive,Belgium's heartbeat of folk rock.,,,,,alternative folk rock,Belgium,"[using festival bio due to a lack of publicly available data] Heartland Drive is an alternative folk rock band from Belgium, with members deeply rooted in the Belgian music scene, having played with renowned acts such as Hooverphonic, Zornik, and Gorki. The band's music has also gained recognition beyond the stage, with tracks featured in award-winning TV shows like *Down The Road* and *Out Of Office*. Critics describe the band's music as an exciting, adventurous sound with audible influences from the likes of Jason Isbell, Bruce Springsteen, and Tom Petty, all legends within the illustrious heartland rock genre hinted at by the band's name.",,,,,,,,,,,,https://bospopfestival.nl/artiest/heartland-drive/,"Heartland Drive is een alternative folkrock band uit België, met leden die diep geworteld zijn in de Belgische muziekscene en hebben gespeeld met gerenommeerde acts als Hooverphonic, Zornik en Gorki. De muziek van de band heeft ook buiten het podium erkenning gekregen, met nummers die te horen zijn in bekroonde tv-programma’s zoals Down The Road en Out Of Office. Door critici wordt de muziek van de band omschreven als een opwindende, avontuurlijke sound met hoorbare invloeden van bijvoorbeeld Jason Isbell, Bruce Springsteen en Tom Petty, allen grootheden binnen het illustere heartland rock genre waar de bandnaam al naar hint.","Heartland Drive is an alternative folk-rock band from Belgium, featuring members deeply rooted in the Belgian music scene who have played with renowned acts such as Hooverphonic, Zornik, and Gorki. The band's music has also gained recognition beyond the stage, with tracks featured in award-winning TV shows like *Down The Road* and *Out Of Office*. Critics describe the band's music as an exciting, adventurous sound with audible influences from artists like Jason Isbell, Bruce Springsteen, and Tom Petty, all legends within the illustrious heartland rock genre hinted at by the band's name.",,Yes
Moby,"Electronic soul, sampled from the heart",,,,,Electronic/Downtempo/Techno,USA,"Moby is an American musician, producer, and DJ known for his pioneering work in electronic music. He gained international fame with his 1999 album 'Play,' which blended electronic beats with samples of traditional folk and blues, and has sold over 20 million records worldwide.",,,,,,"Moby's innovative fusion of electronic music with blues and folk samples, particularly on his groundbreaking album 'Play,' has solidified his reputation as a key figure in the evolution of electronic music. His ability to craft emotionally resonant and genre-defying tracks has earned him critical acclaim and commercial success.",9,,Male,No,,https://bospopfestival.nl/artiest/moby/,"Moby, geboren als Richard Melville Hall in 1965 in Harlem, kreeg zijn bijnaam door zijn familieband met schrijver Herman Melville. Hij begon al op jonge leeftijd met klassieke muziek en vond zijn muzikale identiteit in de New Yorkse punk- en undergroundscene van de jaren ’80. Zijn doorbraak kwam in 1991 met de single ‘Go‘, door Rolling Stone genoemd als een van de beste tracks aller tijden. Sindsdien verkocht hij meer dan 20 miljoen albums wereldwijd. Naast zijn eigen werk produceerde en remixte Moby muziek voor o.a. David Bowie, Public Enemy, Ozzy Osbourne en Daft Punk. Met zijn bedrijf Little Walnut maakt hij bekroonde documentaires zoals Moby Doc en Punk Rock Vegan Movie, en werkt hij aan de speelfilm Tecie (verwacht in 2026).","Moby, born as Richard Melville Hall in 1965 in Harlem, received his nickname due to his family connection to writer Herman Melville. He began studying classical music at a young age and found his musical identity in New York's punk and underground scene of the 1980s. His breakthrough came in 1991 with the single ""Go,"" named by Rolling Stone as one of the greatest tracks of all time. Since then, he has sold over 20 million albums worldwide. In addition to his own work, Moby has produced and remixed music for artists such as David Bowie, Public Enemy, Ozzy Osbourne, and Daft Punk. Through his company Little Walnut, he creates award-winning documentaries like *Moby Doc* and *Punk Rock Vegan Movie*, and he is currently working on the feature film *Tecie* (expected in 2026).",,Yes
ZZ Top,"Texas grit, beards, and blues rock.",,,,,Rock/Blues Rock/Hard Rock,USA,"ZZ Top is a legendary American rock band formed in 1969 in Houston, Texas. Known for their blues-infused rock sound, humorous lyrics, and iconic bearded image, they achieved massive success with albums like 'Eliminator' and hits such as 'Sharp Dressed Man' and 'La Grange'.",,,,,,"ZZ Top's fusion of blues and hard rock, combined with their distinctive image and humorous storytelling, has made them one of the most iconic rock bands in history. Their music is characterized by gritty guitar riffs, groovy rhythms, and a unique Southern charm.",9,3,Male,No,,https://bospopfestival.nl/artiest/zz-top/,"De Amerikaanse rockband ZZ Top staat bekend om hun ruige, door blues gedreven gitaarwerk, bijzondere muziekvideo’s en omarming van hun Texaanse roots, evenals om het kenmerkende gezichtshaar van de muzikanten. Megahits bestaan uit onder andere ‘La Grange’, ‘Sharp Dressed Man’ en ‘Legs’. Met een carrière dat al meerdere decennia stand houdt worden ze beschouwd als een van de meest volhardende en invloedrijke rockbands in de Amerikaanse muziekgeschiedenis. Live klinkt ZZ Top als vanouds strak, swingend en doordrenkt met zuidelijke charme. Met de juiste dosis eenvoud, groove en attitude is een show van ZZ Top gegarandeerd topvermaak.","The American rock band ZZ Top is known for their gritty, blues-driven guitar work, unique music videos, and embrace of their Texan roots, as well as the distinctive facial hair of the musicians. Mega-hits include ""La Grange,"" ""Sharp Dressed Man,"" and ""Legs."" With a career spanning several decades, they are considered one of the most enduring and influential rock bands in American music history. Live, ZZ Top delivers their signature tight, swinging sound infused with Southern charm. With the perfect mix of simplicity, groove, and attitude, a ZZ Top show is guaranteed top-notch entertainment.",,Yes
Kaiser Chiefs,Anthem architects of indie rock.,,,,,Indie Rock/Post-Punk Revival,UK,"Kaiser Chiefs are a British indie rock band from Leeds, known for their energetic performances and catchy anthems. They rose to fame in the mid-2000s with hits like 'I Predict a Riot' and 'Ruby', and have received multiple awards, including a BRIT Award for Best British Group.",,,,,,"Kaiser Chiefs are celebrated for their infectious, sing-along choruses and high-energy blend of indie rock and post-punk revival. Their sound is characterized by driving rhythms, sharp guitar riffs, and charismatic vocals, making them a staple of mid-2000s British rock.",8,5,Male,No,,https://bospopfestival.nl/artiest/kaiser-chiefs/,"Oh My God, I can’t believe it: Kaiser Chiefs komt voor het eerst naar Bospop! Toen Kaiser Chiefs in Leeds in de zomer van 2003 werd gevormd, was het niet hun doel om zalen te vullen en te touren. De vijf Britpop-geobsedeerden hadden het plan om wat geld te verdienen met hun optreden op het Leeds Festival. Dat liep behoorlijk uit de hand, want de band kende vervolgens grote successen in de jaren ’00 met knoeperts van hits als ‘Oh My God’, ‘I Predict a Riot’, ‘Ruby’en ‘Everyday I Love You Less and Less’. De afgelopen 20+ jaar mocht de band dan ook al menig festivalweide platspelen, waaronder Pinkpop, Lowlands, Isle of Wight en Glastonbury. Maar nog nooit Bospop, tot nu!","Oh My God, I can’t believe it: Kaiser Chiefs are coming to Bospop for the first time! When Kaiser Chiefs formed in Leeds in the summer of 2003, their goal wasn’t to fill venues and go on tour. The five Britpop-obsessed members planned to make some money performing at the Leeds Festival. That plan spiraled out of control, as the band went on to achieve massive success in the 2000s with huge hits like ‘Oh My God,’ ‘I Predict a Riot,’ ‘Ruby,’ and ‘Everyday I Love You Less and Less.’ Over the past 20+ years, the band has played countless festival stages flat, including Pinkpop, Lowlands, Isle of Wight, and Glastonbury. But never Bospop—until now!",,Yes
Kensington,Anthemic rock built for arenas.,,,,,Alternative Rock/Indie Rock,Netherlands,"Kensington is a Dutch alternative rock band known for their anthemic sound and powerful live performances. They have achieved significant success in Europe, with multiple chart-topping albums and sold-out shows in major venues.",,,,,,"Kensington's music combines soaring melodies, emotive lyrics, and polished production, making them one of the most prominent alternative rock bands in Europe. Their ability to craft stadium-ready anthems has earned them a dedicated fanbase and critical acclaim.",8,4,Male,No,,https://bospopfestival.nl/artiest/kensington/,"Kensington is een van de weinige acts die bij een wissel van frontman onverminderd populair blijft. De band keerde na een korte pauze ijzersterk terug met zanger James Dowd, én een nieuwe plaat: ‘First Rodeo’, dat al vooraf werd gegaan door meerdere succesvolle singles. Een nieuw hoofdstuk voor Kensington, vol frisse energie en rauwe spark van Dowd, maar met de blijvende vertrouwde kracht van Casper Starreveld, Jan Haker en Niles Vandenberg. ‘First Rodeo’voelt als een hergeboorte: avontuurlijk, gedreven en toch onmiskenbaar Kensington op volle snelheid. De band staat te popelen om weer door Europa te touren, daarbij mag Bospop niet ontbreken!","Kensington is one of the few acts that remains immensely popular despite a change in frontman. After a short break, the band made a powerful comeback with singer James Dowd and a new album: 'First Rodeo', which was preceded by several successful singles. A new chapter for Kensington, full of fresh energy and Dowd's raw spark, yet retaining the familiar strength of Casper Starreveld, Jan Haker, and Niles Vandenberg. 'First Rodeo' feels like a rebirth: adventurous, driven, and unmistakably Kensington at full speed. The band is eager to tour across Europe again, and Bospop is a must on their list!",,Yes
Clouseau,"Belgium’s Heartbeat, Dutch Pop Perfection",,,,,Pop/Rock,Belgium,"Clouseau is a Belgian pop and rock band formed in 1984, known for their catchy melodies and heartfelt lyrics, primarily sung in Dutch. They achieved widespread success in Belgium and the Netherlands with hits like 'Daar Gaat Ze' and 'Anne', and have remained a beloved act in the region for decades.",,,,,,"Clouseau's blend of melodic pop and rock, combined with emotive Dutch lyrics, has made them a cornerstone of Belgian music. Their ability to craft memorable songs has earned them a loyal following in the Benelux region.",8,2,Male,No,,https://bospopfestival.nl/artiest/clouseau/,"De vaandeldragers van de Vlaamse popmuziek keren terug naar Weert! Clouseau werd in 1984 opgericht en scoorde door de jaren heen hits met onder andere ‘Daar Gaat Ze‘, ‘Domino‘, ‘Louise‘ en ‘Nobelprijs‘, waarmee het iconische duo Koen en Kris Wauters een publiek van vele generaties raakt. Clouseau vierde in 2024 op indrukwekkende wijze hun 40-jarig jubileum. Het hoogtepunt was ongetwijfeld hun terugkeer naar het iconische Sportpaleis – ondertussen hernoemd naar AFAS Dome – waar ze maar liefst 14 keer voor een uitverkochte arena speelden. Ze breidden hun record daarmee verder uit: al meer dan 130 keer speelde Clouseau in deze imposante zaal. Na een geweldig optreden op Bospop in 2023 kijken we er naar uit om Clouseau weer te verwelkomen, de band bewijst immers keer op keer waarom ze behoren tot de meest geliefde popacts van de Lage Landen.","The flagbearers of Flemish pop music are returning to Weert! Clouseau, founded in 1984, has scored hits over the years with songs like ‘Daar Gaat Ze,’ ‘Domino,’ ‘Louise,’ and ‘Nobelprijs,’ with which the iconic duo Koen and Kris Wauters have touched audiences across generations. In 2024, Clouseau celebrated their 40th anniversary in an impressive fashion. The highlight was undoubtedly their return to the iconic Sportpaleis – now renamed AFAS Dome – where they performed no less than 14 times to a sold-out arena. This further extended their record: Clouseau has now played in this grand venue over 130 times. After an amazing performance at Bospop in 2023, we look forward to welcoming Clouseau back once more, as the band continues to prove time and again why they are among the most beloved pop acts of the Low Countries.",,Yes
Razorlight,"Anthemic riffs, indie rock revival.",,,,,Indie Rock/Alternative Rock,UK,"Razorlight is a British indie rock band formed in 2002, known for their energetic performances and catchy guitar-driven anthems. They achieved commercial success with hits like 'America' and 'In the Morning' and were a prominent part of the mid-2000s indie rock revival.",,,,,,"Razorlight's sound is characterized by sharp guitar riffs, melodic hooks, and anthemic choruses, making them a standout act of the 2000s indie rock scene. Their music often blends raw energy with introspective lyrics, appealing to fans of bands like The Libertines and Arctic Monkeys.",8,4,Male,No,,https://bospopfestival.nl/artiest/razorlight/,"Razorlight is terug — en hoe. De band begon ooit met optredens op feesten in Londense kraakpanden, en groeide middels grote hits als ‘In The Morning’en ‘America’uit tot een van de meest iconische indierockbands van de UK. Na jaren van omwegen en stilte vond de bekendste line-up (Johnny Borrell, Andy Burrows, Björn Ågren en Carl Dalemo) elkaar opnieuw, en dat hoor je: de vonk is helemaal terug. Met nieuwe tracks, frisse plannen en een live-reputatie die nog steeds ruggen recht trekt, bouwen ze verder aan hun eigen legende. Verwacht catchy hooks, dansbare gitaarlijntjes en een band die met een hernieuwde energie op het podium staat.","Razorlight is back — and how. The band, which started with performances at parties in London squats, grew into one of the UK's most iconic indie rock bands with major hits like 'In The Morning' and 'America.' After years of detours and silence, the most famous lineup (Johnny Borrell, Andy Burrows, Björn Ågren, and Carl Dalemo) reunited, and you can hear it: the spark is fully reignited. With new tracks, fresh plans, and a live reputation that still commands attention, they continue to build their own legend. Expect catchy hooks, danceable guitar riffs, and a band that takes the stage with renewed energy.",,Yes
Triggerfinger,"Riff-fueled thunder, born to blaze.",,,,,Rock/Blues Rock/Stoner Rock,Belgium,"Triggerfinger is a Belgian rock band known for their heavy, riff-driven sound that blends elements of blues rock and stoner rock. They gained international recognition with their stripped-down cover of Lykke Li's 'I Follow Rivers,' which became a hit in several countries.",,,,,,"Triggerfinger's music is characterized by powerful guitar riffs, raw energy, and a blend of bluesy grooves and stoner rock influences. Their live performances are highly regarded for their intensity and precision, solidifying their reputation as one of Belgium's premier rock acts.",8,3,Male,No,,https://bospopfestival.nl/artiest/triggerfinger/,"Triggerfinger is al sinds 1998 de meest stijlvolle rockmachine van de Lage Landen. Het Belgische gezelschap scoorde dikke hits met o.a. ‘Let It Ride’, ‘Cherry’en de verrassende Lykke Li-cover ‘I Follow Rivers’. De band tourt sindsdien door heel Europa en stond op alle grote festivals, van Rock Werchter tot Pinkpop en Lowlands. Verwacht een verfijnde set vol spanning, stijl en vlijmscherpe songs — een optreden dat regelrecht door je ribbenkast heen gaat. En extra mooi nieuws: de band neemt nieuwe muziek naar Weert!","Triggerfinger has been the most stylish rock machine of the Low Countries since 1998. The Belgian group scored major hits with tracks like ""Let It Ride,"" ""Cherry,"" and the surprising Lykke Li cover ""I Follow Rivers."" Since then, the band has toured all over Europe and performed at all the major festivals, from Rock Werchter to Pinkpop and Lowlands. Expect a refined set full of tension, style, and razor-sharp songs — a performance that will cut straight through your ribcage. And even better news: the band is bringing new music to Weert!",,Yes
The Ultimate Eagles,"Timeless Eagles hits, perfectly reborn.",,,,,Rock/Tribute,UK,"The Ultimate Eagles are a UK-based tribute band dedicated to recreating the music of the legendary American rock band, the Eagles. Known for their meticulous attention to detail and live performances, they have gained recognition for their faithful renditions of classic hits like 'Hotel California' and 'Take It Easy.'",,,,,,"The Ultimate Eagles excel at delivering authentic renditions of the Eagles' iconic rock sound, showcasing impressive musicianship and vocal harmonies that capture the essence of the original band. Their live performances are celebrated for their energy and precision, making them a standout act in the tribute band scene.",7,6,Mixed,No,,https://bospopfestival.nl/artiest/the-ultimate-eagles/,"Tijdens een concert van The Ultimate Eagles waan je je in de jaren ’70 in Southern California, de hoogtijdagen van Eagles. De band is in korte tijd uitgegroeid tot één van de meest succesvolle tribute acts ter wereld. Het gezelschap bestaat dan ook niet uit de minste muzikanten, allen hebben ze al ruime ervaring in diverse andere bands. Een show van The Ultimate Eagles is één groot hoogtepunt waarin uiteraard de vele grote hits van Eagles voorbij zullen komen, zoals ‘Lyin’ Eyes’, ‘Take It Easy’en natuurlijk ‘Hotel California’. Kom genieten van dit unieke eerbetoon, de band kan in ieder geval niet wachten om weer op te treden in Nederland.","During a concert by The Ultimate Eagles, you'll find yourself transported to the 1970s in Southern California, the golden era of the Eagles. The band has quickly grown into one of the most successful tribute acts in the world. The group is made up of top-tier musicians, all of whom have extensive experience in various other bands. A show by The Ultimate Eagles is one big highlight, featuring many of the Eagles' greatest hits, such as 'Lyin' Eyes,' 'Take It Easy,' and, of course, 'Hotel California.' Come and enjoy this unique tribute—the band certainly can't wait to perform in the Netherlands again.",,Yes
The Commoners,Blues-fueled rock with soul fire.,,,,,Rock/Blues Rock,Canada,"The Commoners are a Canadian rock band known for their blend of blues-infused rock and soulful melodies, drawing inspiration from classic rock acts while delivering a modern edge. Their music features powerful vocals, dynamic instrumentation, and a focus on storytelling.",,,,,,"The Commoners deliver a compelling mix of blues rock and soulful energy, reminiscent of classic rock legends but with a contemporary twist. Their emotive lyrics and robust sound have earned them a growing reputation in the rock scene.",7,4,Male,No,,https://bospopfestival.nl/artiest/the-commoners/,"Met hun meest recente album ‘Restless’(2024) leveren The Commoners tien nummers vol southern swagger, groovende riffs en soulvolle zang – een sound “uit het eikenhouten vat van een whiskeybarrel”. En dat voor een band die helemaal niet uit het zuiden komt, maar uit Canada! De vijfkoppige groep uit Toronto haalt hoorbaar inspiratie uit The Black Crowes, Led Zeppelin, Allman Brothers en Motown-grooves, maar smeedt daar een eigen vurige stijl van rijke harmonieën, doorleefde vocalen en klassieke rockspirit van nu. Met singles als ‘Devil Teasin’ Me’en ‘Shake You Off’op de Planet Rock-playlist trekt The Commoners overal volle zalen: een band in volle opmars.","With their latest album 'Restless' (2024), The Commoners deliver ten tracks full of southern swagger, grooving riffs, and soulful vocals—a sound ""from the oak barrel of a whiskey cask."" And this from a band that doesn't hail from the South, but from Canada! The five-piece group from Toronto audibly draws inspiration from The Black Crowes, Led Zeppelin, Allman Brothers, and Motown grooves, yet forges their own fiery style of rich harmonies, heartfelt vocals, and a modern classic rock spirit. With singles like 'Devil Teasin’ Me' and 'Shake You Off' on the Planet Rock playlist, The Commoners are packing venues everywhere: a band on the rise.",,Yes
Cooking with Knopfler,"Fingerpicked magic, Knopfler’s spirit reborn.",,,,,,,"[using festival bio due to a lack of publicly available data] Cooking with Knopfler delivers a loving and virtuoso tribute to the timeless music of Mark Knopfler and Dire Straits. The band captures Knopfler's warm guitar tone, subtle dynamics, and masterful storytelling in intricate detail. Expect atmospheric ballads, extended grooves, and of course, that legendary fingerpicking sound. Cooking with Knopfler combines musicianship with passion, performing with a relaxed flair that instantly draws in the audience. A perfect act for fans of pure, honest, and beautifully executed music that comes remarkably close to the original.",,,,,,,,,,,,https://bospopfestival.nl/artiest/cooking-with-knopfler/,"Cooking with Knopfler brengt een liefdevolle én virtuoze ode aan de tijdloze muziek van Mark Knopfler en Dire Straits. De band weet de warme gitaartoon, subtiele dynamiek en meesterlijke storytelling van Knopfler tot in detail te vangen. Verwacht sfeervolle ballads, uitgesponnen grooves en natuurlijk die legendarische fingerpicking-sound. Cooking with Knopfler combineert muzikaliteit met passie en speelt met een ontspannen flair die het publiek direct meeneemt. Een perfecte act voor fans van pure, eerlijke en prachtig uitgevoerde muziek, die akelig dichtbij het origineel komt.","Cooking with Knopfler delivers a loving and virtuoso tribute to the timeless music of Mark Knopfler and Dire Straits. The band captures Knopfler's warm guitar tone, subtle dynamics, and masterful storytelling in exquisite detail. Expect atmospheric ballads, extended grooves, and, of course, that legendary fingerpicking sound. Cooking with Knopfler combines musicality with passion, performing with a relaxed flair that immediately draws the audience in. A perfect act for fans of pure, honest, and beautifully executed music that comes remarkably close to the original.",,Yes
Tribute to TOTO,Reliving TOTO’s timeless magic live.,,,,,,,"[using festival bio due to a lack of publicly available data] With performances of hits like ‘Rosanna,’ ‘Hold The Line,’ and ‘Africa,’ this tribute band delivers an unforgettable show full of musical highlights from TOTO's rich career! In 2024, Tribute to TOTO appeared in season 3 of the TV program ‘The Tribute – Battle of the Bands’ on SBS6. Each week, the band performed a TOTO classic and even had the chance to meet the original TOTO band members. Since then, they can count frontman Steve Lukather among their fans. Tribute to TOTO takes you back to the '80s and '90s, immersing every fan and listener in the story of one of the most popular bands of all time.",,,,,,,,,,,,https://bospopfestival.nl/artiest/tribute-to-toto/,"Met vertolkingen van hits als ‘Rosanna’, ‘Hold The Line’en ‘Africa’bezorgt deze tributeband je een onvergetelijke show vol met muzikale hoogtepunten uit de rijke carrière van TOTO!In 2024 was Tribute to TOTO te zien in seizoen 3 van het tv-programma ‘The Tribute – Battle of the Bands’ op SBS6.Hier speelde de band wekelijks een TOTO-klassieker en mochten de bandleden zelfs de originele TOTO-bandleden ontmoeten. Sindsdien mogen ze frontman Steve Lukather tot hun fanschare rekenen. Tribute to TOTO neemt je mee terug naar de jaren 80 en 90, waarbij ze elke fan en luisteraar zullen meenemen in het verhaal van een van de meest populaire bands ooit.","With performances of hits like 'Rosanna,' 'Hold The Line,' and 'Africa,' this tribute band delivers an unforgettable show filled with musical highlights from TOTO's rich career! In 2024, Tribute to TOTO appeared in season 3 of the TV program 'The Tribute – Battle of the Bands' on SBS6. Each week, the band performed a TOTO classic and even had the chance to meet the original TOTO band members. Since then, they can count frontman Steve Lukather among their fans. Tribute to TOTO takes you back to the '80s and '90s, immersing every fan and listener in the story of one of the most popular bands of all time.",,Yes
Henrik Freischlader,"Blues fire, rock soul unleashed",,,,,Blues/Rock,Germany,"Henrik Freischlader is a German blues-rock guitarist, singer, and songwriter known for his soulful voice and virtuosic guitar playing. He has released numerous albums, blending traditional blues with rock influences, and has gained a reputation for his electrifying live performances.",,,,,,"Henrik Freischlader's music is a masterful blend of blues and rock, characterized by his expressive guitar work and powerful vocals. His ability to channel classic blues influences while maintaining a modern edge has earned him critical acclaim and a dedicated fanbase.",8,,Male,No,,https://bospopfestival.nl/artiest/henrik-freischlader/,"Henrik Freischlader is al jaren een goed bewaard geheim binnen de Europese bluesrock, al heeft hij het podium gedeeld met grootheden als B.B. King, Gary Moore, Peter Green, Joe Bonamassa en de Tedeschi Trucks Band. Na talloze tours is de Duitse gitarist, zanger en multi-instrumentalist niet meer weg te denken uit de internationale bluesscene. Zijn virtuoze, gepassioneerde gitaarspel, rauwe stem en sterke grooves vormen een stijl die meteen herkenbaar is. Sinds 2006 bracht hij 11 studioalbums en 7 livealbums uit op zijn eigen label Cable Car Records — en er staat bijna altijd nieuw werk in de planning. De komende zomer trekt hij richting Bospop: verwacht pure, handgemaakte bluesrock van uitzonderlijk niveau.","Henrik Freischlader has been a well-kept secret in European blues rock for years, despite having shared the stage with legends like B.B. King, Gary Moore, Peter Green, Joe Bonamassa, and the Tedeschi Trucks Band. After countless tours, the German guitarist, singer, and multi-instrumentalist has become an integral part of the international blues scene. His virtuosic, passionate guitar playing, raw voice, and strong grooves create a style that is instantly recognizable. Since 2006, he has released 11 studio albums and 7 live albums on his own label, Cable Car Records — and there’s almost always new work in the pipeline. This coming summer, he’s heading to Bospop: expect pure, handcrafted blues rock of exceptional quality.",,Yes
The K’s,"Anthemic energy, born to ignite.",,,,,Indie Rock/Alternative Rock,UK,"The K’s are a four-piece indie rock band from Earlestown, UK, known for their high-energy performances and anthemic tracks that blend raw guitar riffs with catchy melodies. Since forming in 2017, they have gained a reputation for their dynamic live shows and a growing fanbase across the UK.",,,,,,"The K’s deliver a powerful mix of indie and alternative rock, characterized by punchy guitar-driven anthems and energetic live performances. Their music channels the spirit of classic British rock with a modern edge, resonating strongly with fans of the genre.",8,4,Male,No,,https://bospopfestival.nl/artiest/the-ks/,"The K’s stormen het podium op met de onbevangen energie van een band die nergens bang voor is. Vanuit Earlestown naar de top van de UK-charts: eerst met ‘I Wonder If The World Knows’, daarna met ‘Pretty On The Internet’, dat zelfs een terugkerend Oasis van de nummer 1 stootte. Maar het is live dat The K’s echt onverslaanbaar zijn—250.000 fans in één jaar, mainstages door heel Europa, en een Woodsies-show op Glastonbury die om 12 uur ’s middags al 12.000 man trok. The K’s worden terecht gezien als een van de spannendste Britse bands van nu. Klaar voor nóg een kolkende festivalshow.","The K’s storm onto the stage with the unbridled energy of a band that fears nothing. From Earlestown to the top of the UK charts: first with ‘I Wonder If The World Knows,’ then with ‘Pretty On The Internet,’ which even knocked a returning Oasis off the number one spot. But it’s live where The K’s are truly unbeatable—250,000 fans in one year, main stages across Europe, and a Woodsies show at Glastonbury that drew 12,000 people by noon. The K’s are rightfully regarded as one of the most exciting British bands of the moment. Ready for yet another electrifying festival show.",,Yes
Green Crow Collective,Surrealist rock with chaos to spare,,,,,EuroDada,Belgium,"[using festival bio due to a lack of publicly available data] Green Crow Collective is the kind of band that enters a room and immediately adjusts the oxygen levels: more sweat, more swing, more fun. The quartet, led by Roeland Vandemoortele, serves up EuroDada—a quirky cocktail of rock, Eastern influences, and Belgian surrealism—with the ease of people who have spent a lifetime roaming stages. Violinist Andries Boone, bassist Mathias Moors, and drummer Bert Huysentruyt drive the songs forward as if the amps are permanently set to eleven. ‘Hard Drive Error,’ their debut, is a joyfully derailing caravan full of winks, sharp turns, and musical middle fingers to anything too tame. After a smashing club tour and love from Radio 1 and Radio Willy, one thing is clear: this crow’s nest belongs on every festival stage.",,,,,,,,4,he,,,https://bospopfestival.nl/artiest/green-crow-collective/,"Green Crow Collective is het soort band dat een zaal binnenkomt en meteen het zuurstofgehalte corrigeert: meer zweet, meer swing, meer plezier. Het kwartet rond Roeland Vandemoortele serveert EuroDada—een eigenzinnige cocktail van rock, oosterse invloeden en Belgisch surrealisme—met de vanzelfsprekendheid van mensen die al een heel leven op podia rondzwerven. Violist Andries Boone, bassist Mathias Moors en drummer Bert Huysentruyt stuwen de songs vooruit alsof de versterkers standaard op elf staan. ‘Hard Drive Error’, hun debuut, is een vrolijk ontsporende karavaan vol knipogen, schuine bochten en muzikale middenvingers tegen alles wat te braaf klinkt. Na een knallende clubtour en liefde van Radio 1 en Radio Willy is één ding duidelijk: dit kraaiennest hoort thuis op élk festival.","Green Crow Collective is the kind of band that enters a room and immediately adjusts the oxygen levels: more sweat, more swing, more fun. The quartet, led by Roeland Vandemoortele, serves up EuroDada—a quirky cocktail of rock, Eastern influences, and Belgian surrealism—with the ease of people who’ve spent a lifetime roaming stages. Violinist Andries Boone, bassist Mathias Moors, and drummer Bert Huysentruyt propel the songs forward as if the amplifiers are permanently set to eleven. ‘Hard Drive Error,’ their debut, is a joyfully derailing caravan full of winks, sharp turns, and musical middle fingers to anything too tame. After a smashing club tour and love from Radio 1 and Radio Willy, one thing is clear: this crow’s nest belongs on every festival stage.",,Yes
Lenny Kravitz,"Retro soul, rock’s electric fire.",,,,,Rock/Funk/Soul,USA,"Lenny Kravitz is an American musician, singer, songwriter, and producer known for his unique fusion of rock, funk, soul, and psychedelic influences. Over his career, he has won multiple Grammy Awards and is celebrated for hits like 'Are You Gonna Go My Way' and 'Fly Away,' as well as his dynamic live performances.",,,,,,"Lenny Kravitz's music blends classic rock with funk and soul, creating a retro yet modern sound. His ability to channel influences like Jimi Hendrix and Prince while maintaining his own identity has earned him critical acclaim and a reputation as a dynamic performer.",9,,Male,Yes,,https://bospopfestival.nl/artiest/lenny-kravitz/,"De Amerikaanse muzikant, producer, acteur en fotograaf brak in 1989 door met zijn single ‘Let Love Rule’ en staat sindsdien bekend als een van de meest iconische rocksterren van de jaren ’90. In deze tijd volgen hits als ‘It Ain’t Over ‘Til It’s Over’, ‘Fly Away’, ‘Are You Gonna Go My Way’ en ‘Again’. Zijn unieke sound combineert ‘70’s soul en psychedelische hardrock met zware riffs en een stem die iedereen herkent. Lenny Kravitz staat bekend om zijn enorm strakke rockshows met een flinke bak energie: zie daarbij maar eens stil te blijven staan. Zijn nieuwste album ‘Blue Electric Light’ brengt hem opnieuw naar de grootste podia ter wereld, waaronder Bospop!","The American musician, producer, actor, and photographer broke through in 1989 with his single ""Let Love Rule"" and has since been known as one of the most iconic rock stars of the '90s. During this time, hits like ""It Ain’t Over ‘Til It’s Over,"" ""Fly Away,"" ""Are You Gonna Go My Way,"" and ""Again"" followed. His unique sound combines '70s soul and psychedelic hard rock with heavy riffs and a voice that everyone recognizes. Lenny Kravitz is renowned for his incredibly tight rock shows packed with energy—just try standing still during one. His latest album, ""Blue Electric Light,"" is once again bringing him to the world's biggest stages, including Bospop!",,Yes
