Artist,Tagline,Date,Start Time,End Time,Stage,Genre,Country,Bio,Website,AI Summary,AI Rating,Spotify Link,Number of People in Act,Gender of Front Person,Front Person of Color?,Cancelled,Festival URL,Festival Bio (NL),Festival Bio (EN),Social Links,Images Scraped
The Last Dinner Party,Artful anthems for the dramatic soul,,,,,Indie Rock/Art Pop,UK,"The Last Dinner Party is a UK-based band known for their blend of indie rock and art pop, characterized by theatrical performances and intricate arrangements. They gained attention for their dynamic live shows and a fresh approach to storytelling in their music.",,"The Last Dinner Party shows promise with their unique sound and engaging live performances, making them a rising act to watch in the indie scene.",10,https://open.spotify.com/artist/5SHgclK1ZpTdfdAmXW7J6s,5,Female,No,,https://www.rockwerchter.be/en/acts/the-last-dinner-party,,,,No
Lauren Spencer Smith,"Heartfelt anthems, voice of raw emotion",,,,,Pop,Canada,"Lauren Spencer Smith is a Canadian singer-songwriter who gained widespread recognition after appearing on American Idol in 2020. Known for her emotive vocals and heartfelt lyrics, she has released viral hits like 'Fingers Crossed' and 'Flowers,' showcasing her talent for crafting relatable pop ballads.",,"Lauren Spencer Smith has been praised for her powerful voice and ability to connect emotionally with her audience, making her a promising live performer with potential for further acclaim.",7,https://open.spotify.com/artist/79AyR6ATpj2LTPxfb6FX50,,Female,No,,https://www.rockwerchter.be/en/acts/lauren-spencer-smith,,,,No
Lewis Capaldi,Heartbreak’s voice with a Scottish soul,,,,,Pop/Soul,UK,"Lewis Capaldi is a Scottish singer-songwriter known for his emotive ballads and powerful vocal performances. He gained international fame with his hit single 'Someone You Loved,' which topped charts worldwide and earned him a Grammy nomination.",,"Capaldi is praised for his raw emotional delivery and relatable lyrics, making him a standout in contemporary pop. His live performances are noted for their humor and heartfelt connection with audiences.",8,https://open.spotify.com/artist/4GNC7GD6oZMSxPGyXy4MNB,,Male,No,,https://www.rockwerchter.be/en/acts/lewis-capaldi,,"Lewis Capaldi is back! After a two-year break he took for his mental health, he made his big comeback at Glastonbury 2025. Exactly at the same spot where he had to cut short his big hit 'Someone You Loved' two years earlier. The audience carried the singing in a touching moment that went viral. Last summer, he surprised Glastonbury with a short set, including that same hit and his bold new track ""Survive"". The Scottish singer-songwriter is considered one of the greatest talents of recent years. Since 2018, Capaldi has continued to rack up extraordinary achievements. His debut album, 'Divinely Uninspired to a Hellish Extent' (2019), featuring the beautiful “Someone You Loved”, spent 77 weeks in the UK Top 10, breaking Ed Sheeran’s record. His first UK stadium tour sold out in a mere second.",,No
Loyle Carner,"Heartfelt beats, verses that linger.",,,,,Hip-hop/Jazz Rap,UK,"Loyle Carner is a British rapper known for his introspective lyrics and blending of hip-hop with jazz influences. He has received critical acclaim for albums like 'Yesterday's Gone' and 'Not Waving, But Drowning', earning Mercury Prize nominations and a dedicated fanbase.",,"Loyle Carner's artistry is praised for its emotional depth and storytelling, with live performances often described as intimate and engaging.",8,https://open.spotify.com/artist/4oDjh8wNW5vDHyFRrDYC4k,,Male,Yes,,https://www.rockwerchter.be/en/acts/loyle-carner,,,,No
The Lumineers,Anthemic storytellers of raw emotion,,,,,Folk rock/Indie folk,USA,"The Lumineers are a Grammy-nominated folk rock band known for their heartfelt lyrics, acoustic instrumentation, and anthemic songs like 'Ho Hey' and 'Ophelia'. They have achieved international success with multiple chart-topping albums and are recognized for their raw, emotive storytelling.",,"The Lumineers are celebrated for their ability to connect with audiences through intimate, powerful performances and timeless songwriting, making them a standout in the indie folk genre.",8,https://open.spotify.com/artist/16oZKvXb6WkQlVAjwo2Wbg,2,Male,No,,https://www.rockwerchter.be/en/acts/the-lumineers,,,,No
Matt Berninger,Baritone poet of bruised hearts,,,,,Indie Rock/Alternative Rock,USA,"Matt Berninger is the lead vocalist and lyricist of the critically acclaimed indie rock band The National, known for his baritone voice and introspective, poetic songwriting. He has also released solo work, including his 2020 album 'Serpentine Prison,' which showcases a more personal and melodic approach.",,"Matt Berninger is widely praised for his evocative lyrics and distinctive vocal delivery, with live performances often noted for their emotional depth and intensity.",8,https://open.spotify.com/artist/27jRNjIvlUcGN7FBRDnqhp,,Male,No,,https://www.rockwerchter.be/en/acts/matt-berninger,,,,No
Moby,"Ambient architect, electronic soul pioneer",,,,,Electronic/Downtempo/Ambient,USA,"Moby is an American electronic musician, producer, and DJ known for his pioneering work in electronic music and his critically acclaimed album 'Play,' which became a global success with its innovative use of samples and ambient sounds.",,"Moby is widely regarded as a trailblazer in electronic music, with a strong ability to blend emotional depth and accessibility. His live performances are praised for their energy and immersive quality.",9,https://open.spotify.com/artist/3OsRAKCvk37zwYcnzRf5XF,,Male,No,,https://www.rockwerchter.be/en/acts/moby,,"Moby was born Richard Melville Hall in Harlem, NYC in 1965. ​His father gave him his nickname “Moby” when he was 10 minutes old, as a result of his hereditary relationship to Herman Melville. Moby started playing classical music and studying music theory when he was 9 years old, and then came of age musically in the punk rock scene in and around NYC in the early 80’s. He released his first single, “Go,” in 1991 (listed as one of “Rolling Stone'' magazine's best records of all time), and has been making albums ever since. ​He has sold over 20,000,000 albums worldwide. In addition to making his own records, Moby has also produced and remixed artists as varied and disparate as David Bowie, Public Enemy, Ozzy Osbourne, The Beastie Boys, and Daft Punk, to name a few. Moby also works with and supports a variety of non-profit organizations, including The Humane Society, Emily’s List, The ACLU, and The Institute for Music and Neurologic Function. He has also branched out into film and television production with his company Little Walnut. ​In addition to their award-winning documentaries “Moby Doc” and “Punk Rock Vegan Movie,” Little Walnut is planning a summer 2026 release of their first narrative feature, “Tecie.”",,No
Mumford & Sons,"Anthemic folk tales, banjo fire.",,,,,Folk rock/Indie folk,UK,"Mumford & Sons is a British band known for their blend of folk, rock, and bluegrass influences, characterized by their use of traditional instruments like the banjo and their anthemic, emotionally resonant songs. They achieved global success with albums such as 'Sigh No More' and 'Babel,' the latter winning the Grammy Award for Album of the Year in 2013.",,Mumford & Sons are praised for their energetic live performances and ability to connect with audiences through their heartfelt lyrics and dynamic instrumentation.,8,https://open.spotify.com/artist/3gd8FJtBJtkRxdfbTu19U2,4,Male,No,,https://www.rockwerchter.be/en/acts/mumford-sons,,"It could be the name of a distinguished coffee-roasting dynasty, or a bespoke tailoring house. Mumford & Sons exude confidence. The band, led by frontman Marcus Mumford, emerged from the West London folk scene – young city dwellers making rootsy music with accordions and banjos. Their debut,Sigh No More(2009), featuring evergreen tracks likeLittle Lion ManandThe Cave, sold over 3 million copies in the UK and US alone. Their relationship with Belgium is a love story. In November 2025 they play at a sold-out AFAS Dome in Antwerp. And 2026 marks their fifth Rock Werchter appearance. These are creative high times for Marcus & Co. Just seven months afterRushmere(2025), named after the place where it all began, a new albumPrizefighterarrives on 13 February. Mumford & Sons are masters of their craft. They write the most beautiful songs. Their shows are nothing short of spectacular and constitute one of the most anticipated highlights of Rock Werchter 2026.",,No
Palaye Royale,Vintage chaos meets glam rock rebellion,,,,,Alternative Rock/Glam Rock,Canada,"Palaye Royale is a Canadian-American rock band known for their fusion of alternative rock, glam rock, and art-inspired aesthetics. They have gained a dedicated fanbase through their theatrical live performances and albums like 'Boom Boom Room' and 'The Bastards.'",,"Palaye Royale is praised for their energetic and theatrical live shows, blending a vintage rock sound with modern flair, though some critics note their style can overshadow substance at times.",7,https://open.spotify.com/artist/0hAd6zwEgt9ILuMDY1prcI,3,Male,No,,https://www.rockwerchter.be/en/acts/palaye-royale,,,,No
Paul Kalkbrenner,"Emotive techno, born in Berlin.",,,,,Techno/Electronic,Germany,Paul Kalkbrenner is a German electronic music producer and DJ known for his melodic and cinematic approach to techno. He gained international recognition with his 2008 album 'Berlin Calling' and its hit single 'Sky and Sand'.,,"Kalkbrenner is celebrated for his ability to blend emotional depth with dancefloor energy, making his live performances a standout experience in the electronic music scene.",8,https://open.spotify.com/artist/0rasA5Z5h1ITtHelCpfu9R,,Male,No,,https://www.rockwerchter.be/en/acts/paul-kalkbrenner,,,,No
Pixies,"Quiet to chaos, always iconic.",,,,,Alternative Rock/Indie Rock,USA,"Pixies are a pioneering alternative rock band formed in 1986 in Boston, known for their dynamic sound that blends quiet melodies with explosive guitar-driven choruses. They are widely credited with influencing the grunge movement and inspiring bands like Nirvana and Radiohead.",,"Pixies are celebrated for their raw energy, innovative songwriting, and powerful live performances, making them a staple of alternative rock history.",9,https://open.spotify.com/artist/6zvul52xwTWzilBZl6BUbT,4,Male,No,,https://www.rockwerchter.be/en/acts/pixies,,,,No
The Prodigy,Firestarters of the Electronic Revolution,,,,,Electronic/Big Beat/Rave,UK,"The Prodigy is a pioneering electronic music group formed in 1990, known for their high-energy big beat sound and hits like 'Firestarter' and 'Breathe'. They are regarded as one of the most influential acts in electronic music, with multiple chart-topping albums and a reputation for electrifying live performances.",,"The Prodigy is widely celebrated for their innovative sound and intense live shows, which have made them a staple of the electronic and festival scenes. Their ability to blend punk energy with electronic beats has earned them critical acclaim and a lasting legacy.",9,https://open.spotify.com/artist/4k1ELeJKT1ISyDv8JivPpB,3,Mixed,No,,https://www.rockwerchter.be/en/acts/the-prodigy,,"The Prodigy has been crucial in bringing dance music to a guitar-driven audience. You can see that clearly in Werchter’s golden history. In 1996, The Prodigy became the first dance act ever to close the festival, a feat the Brits have repeated three more times. Up front, Keith Flint (†) and Maxim set the place ablaze with fireballs like ‘Out of Space,’ ‘Firestarter,’ ‘Poison,’ and ‘Smack My Bitch Up,’ while Liam Howlett commanded everything from behind the scenes. ‘It’ll be The Prodigy just like it was back then, and how it still moves forward,’ the remaining members say about the summer of 2026. ‘The familiar, full-on experience of nonstop noise and beats.’ Loud and fierce. Punk rock for the 21st century. A new album is on the way. The successor toNo Tourists(2018) will be an ode to Keith Flint.",,No
Royel Otis,Dreamy anthems for endless summers,,,,,Indie Rock/Dream Pop,Australia,"Royel Otis is an Australian indie rock duo known for their dreamy, melodic sound and nostalgic yet modern approach to songwriting. They have gained attention for their catchy hooks and vibrant, summery tracks.",,"Royel Otis has been praised for their ability to craft infectious indie tunes, making them a promising act in the indie music scene with potential for strong live performances.",6,https://open.spotify.com/artist/5b5bt4mZQpJMoCRbiQ7diH,2,Male,No,,https://www.rockwerchter.be/en/acts/royel-otis,,,,No
Teddy Swims,Soulful dynamo with a pop heart,,,,,R&B/Soul/Pop,USA,"Teddy Swims is an American singer-songwriter known for his soulful voice and genre-blending style, combining elements of R&B, soul, and pop. He gained popularity through viral covers on social media and has since released original music, including his debut EP 'Unlearning' in 2021.",,"Teddy Swims is widely praised for his powerful vocals and emotional delivery, with live performances that showcase his versatility and connection with audiences.",7,https://open.spotify.com/artist/33qOK5uJ8AR2xuQQAhHump,,Male,No,,https://www.rockwerchter.be/en/acts/teddy-swims,,,,No
The Vaccines,Indie anthems with electric urgency,,,,,Indie rock/Garage rock,UK,"The Vaccines are a British indie rock band formed in 2010, known for their energetic guitar-driven sound and catchy melodies. They gained widespread attention with their debut album 'What Did You Expect from The Vaccines?' and have since released several critically acclaimed records.",,"The Vaccines are celebrated for their infectious hooks and high-energy live performances, making them a favorite at festivals and among indie rock fans.",7,https://open.spotify.com/artist/0Ak6DLKHtpR6TEEnmcorKA,5,Male,No,,https://www.rockwerchter.be/en/acts/the-vaccines,,,,No
Twenty One Pilots,Genre rebels igniting the stage.,,,,,Alternative/Pop Rock,USA,"Twenty One Pilots is an American duo known for blending alternative rock, pop, hip-hop, and electronic elements, achieving mainstream success with hits like 'Stressed Out' and 'Heathens.' They have won multiple awards, including a Grammy, and are celebrated for their energetic and theatrical live performances.",,"Twenty One Pilots are praised for their genre-defying sound and engaging live shows, which often feature elaborate stage setups and audience interaction.",8,https://open.spotify.com/artist/3YQKmKGau1PzlVlkL1iodx,2,Male,No,,https://www.rockwerchter.be/en/acts/twenty-one-pilots,,"Tyler Joseph and Josh Dun from Columbus, Ohio, make up Twenty One Pilots. The dynamic duo have shifted music and culture as an incomparable creative force and with an ever-evolving vision. They have created a unique universe in which the main character, Clancy, tries to escape the fictional city of Dema and overcome his inner demons, represented by Blurryface. It is a symbolic story about mental health that spans multiple albums. The music, visuals, and mysterious narratives form an immersive world that captivates fans around the globe. Blurryface is also the title of their breakthrough album, which set a remarkable record: every track achieved gold or platinum status. In 2024, they released their seventh album, Clancy. Even before the accompanying tour was completed, they announced a new album. The recently released Breach serves as the epilogue to the mythical story of Clancy, which began more than ten years ago. With over 33 billion streams, more than three million tickets sold, dozens of platinum singles, and even a mention in the Guinness® World Records book for the longest music video ever, Twenty One Pilots remain one of the most innovative and intriguing acts of their generation. Catch them on Saturday 4 July on the Main Stage!",,No
The War on Drugs,"Vast soundscapes, dreams in motion",,,,,Indie Rock/Heartland Rock,USA,"The War on Drugs is an American indie rock band known for their expansive, atmospheric sound that blends heartland rock with elements of shoegaze and psychedelia. They have received critical acclaim for albums like 'Lost in the Dream' and the Grammy-winning 'A Deeper Understanding.'",,"The War on Drugs is celebrated for their lush, cinematic soundscapes and emotionally resonant songwriting. Their live performances are often praised for their immersive and dynamic quality.",8,https://open.spotify.com/artist/6g0mn3tzAds6aVeUYRsryU,6,Male,No,,https://www.rockwerchter.be/en/acts/the-war-on-drugs,,"Back in 2014, The War on Drugs pulled off the near impossible. OnLost in the Dreamthe band sounded as if Fleetwood Mac, Pink Floyd, Chris Rea, and Bruce Springsteen had fused into one. It was the record where frontman Adam Granduciel tamed the chaos in his head and the melancholy in his heart, turning it into pure beauty. Two years of recording, countless revisions, and a revolving cast of collaborators later, perfection was achieved. Granduciel has continued to refine and distill his music ever since, always reassuringly classic, yet intriguingly new. That journey broughtA Deeper Understanding(2017), a Grammy winner, andI Don’t Live Here Anymore(2021), another critical triumph and Grammy nominee. Today, The War on Drugs rank among the giants of modern rock. Their third time at Rock Werchter promises to be unforgettable.",,No
The xx,"Whispered intimacy, boundless soundscapes.",,,,,Indie pop/Indie rock,UK,"The xx is a critically acclaimed British band known for their minimalist sound, blending indie pop, electronic, and R&B influences. Their debut album won the Mercury Prize in 2010, and they have been praised for their atmospheric music and emotional depth.",,"The xx are celebrated for their innovative soundscapes and intimate live performances, which have earned them a strong reputation in the indie music scene.",8,https://open.spotify.com/artist/3iOvXCl6edW5Um0fXEBRXy,3,Mixed,No,,https://www.rockwerchter.be/en/acts/the-xx,,"The xx was formed in 2005 in London. Romy, Oliver Sims, and Jamie xx met at school. Their debut album 'xx' was released in 2009 and received rave reviews, topping numerous “Best of 2009” lists and earning them the prestigious Mercury Music Prize in 2010. With follow-up albums 'Coexist' (2012) and 'I See You' (2017), the band grew into one of the most influential acts of their generation, without ever losing their signature intimate sound. After a long period of silence, marked by the three members’ solo projects, ​ they’ve now reunited. The xx have shared studio footage on social media, hinting at new music. “It is like The Avengers! We’ve said it ourselves. It’s always so nice to get back together with them,” said Jamie xx. The xx previously played at Rock Werchter in 2010 and 2012. Their return is eagerly awaited.",,No
Zwangere Guy,Belgium’s raw voice of the streets,,,,,Hip-Hop/Rap,Belgium,"Zwangere Guy is a Belgian rapper known for his raw and introspective lyrics, blending humor and social commentary with a distinctive delivery. He has gained recognition for his contributions to the Belgian hip-hop scene and his impactful live performances.",,"Zwangere Guy is praised for his authentic storytelling and energetic stage presence, making him a standout in the European rap scene.",7,https://open.spotify.com/artist/2Sm4rGKWBnOQhdqDy4JJh0,,Male,No,,https://www.rockwerchter.be/en/acts/zwangere-guy,,,,No
