Artist,Tagline,Day,Start Time,End Time,Stage,Genre,Country,Bio,Website,Spotify Link,YouTube,Instagram,AI Summary,AI Rating,Number of People in Act,Gender of Front Person,Front Person of Color?,Cancelled,Festival URL,Festival Bio (NL),Festival Bio (EN),Social Links,Images Scraped
Hilary Woods,Ethereal ambient-folk visionary,,,,,Ambient/Folk,Ireland,"Hilary Woods is an Irish musician and visual artist known for her ethereal and atmospheric blend of ambient and folk music. A former bassist for the band JJ72, she has since embarked on a solo career, releasing critically acclaimed albums such as 'Colt' and 'Birthmarks'.",,https://open.spotify.com/artist/4S05GVttpg3rjOte0SX749,,,"Hilary Woods crafts hauntingly intimate soundscapes that merge ambient textures with delicate folk melodies. Her work is praised for its emotional depth, cinematic quality, and experimental approach to songwriting.",8,,Female,No,,https://www.rewirefestival.nl/artist/hilary-woods,,"Following two enchanting instrumental records, *Feral Hymns* (2021) and *Acts of Light* (2023), on her latest release, *Night CRIÚ* (2025), Irish artist Hilary Woods returns to using her voice – parting the veil of mystery that ruminates in her compositions, placing herself into the fray of her experimental ambient slowcore production. *Night CRIÚ*’s sonic palette features floods of texture, brass, strings, drone, and field recordings, which converge around Woods's refined yet powerful vocals. Moving between lightness and darkness, between moments of ecstatic reveal and hushed sections of restraint, Woods's dusky songs linger in the heart as much as they do in the ear. She performs her acclaimed new album *Night CRIÚ* at Lutherse Kerk as part of Rewire 2026 – carrying her devotional songs to a venue with an intimate sense of scale fit for her vast yet close sound.","{""Instagram"": ""https://www.instagram.com/_hilary_woods/"", ""Website"": ""https://www.hilarywoods.com/"", ""Bandcamp"": ""https://hilarywoodsmusic.bandcamp.com/""}",Yes
james K,Experimental musician blending electronic textures with avant-garde pop to explore identity and emotion.,,,,,Experimental/Electronic,USA,James K is an experimental musician and producer blending electronic textures with avant-garde pop sensibilities. Her work often explores themes of identity and emotion through unconventional soundscapes.,,https://open.spotify.com/artist/25BObiRSDCMwVrBGIVaLIf,,,"James K crafts a unique fusion of experimental electronic music and avant-pop, characterized by her innovative production techniques and introspective themes. Her sound is both ethereal and boundary-pushing, earning her recognition in underground music circles.",8,,Female,No,,https://www.rewirefestival.nl/artist/james-k,,"Jamie Krasner is a key figure in New York's underground scene. A prolific collaborator with artists such as Oli XL, Yves Tumor, and Drew McDowall (Coil), her solo project, james K, is where she turns her gaze inwards to craft elastic and ethereal pop. Her third solo album, Friend (2025), released on AD93 to critical acclaim; it is a fruitful outcome to james K's serial experiments in dream pop and beyond. Krasner's downtempo music offers a sense of connection among the digital fray of contemporary times, but she circumnavigates the hyper-acceleration of the modern moment, offering instead her music at a glitchy and meditative 56k-modem pace. As a true friend often does, Krasner's Friend leads listeners into a personal and emotive space that is both welcoming and challenging. Its murmuring bit-crushed sounds border on lo-fi aesthetics, yet the james K sound could not be described as anything other than pristine. Her brand of soft shoegazy pop and undulating trip-hop sits gracefully atop a cushion of expansive ambience and broad bass.","{""Instagram"": ""https://www.instagram.com/___pet___/"", ""Bandcamp"": ""https://jameskmusic.bandcamp.com/""}",Yes
JJJJJerome Ellis,"Exploring the intersections of sound, language, and identity through jazz, ambient music, and spoken word.",,,,,Experimental/Ambient,USA,"JJJJJerome Ellis is a composer, poet, and multi-instrumentalist whose work explores the intersections of sound, language, and identity, often incorporating elements of jazz, ambient music, and spoken word. His projects frequently address themes of time, disability, and Blackness, creating deeply personal and thought-provoking art.",,https://open.spotify.com/artist/3RYJmTI1Jxf3MfmxsBxWg0,,,"JJJJJerome Ellis creates a unique fusion of experimental soundscapes, poetic spoken word, and jazz-inflected compositions. His work is celebrated for its innovative exploration of identity and time, offering a deeply introspective and boundary-pushing auditory experience.",8,,Male,Yes,,https://www.rewirefestival.nl/artist/jjjjjerome-ellis-2026,,"JJJJJerome Ellis's debut album on NNA Tapes – The Clearing (2021), accompanied by a publication of the same name – was a moving and singular work touching on concepts of Blackness, stuttering, dysfluency, and ways of disrupting linear time. Anyone who was there to witness their performance at Rewire 2022 can attest to the intimate curiosity and generous sonic experimentations at the core of Ellis's practice. Ellis, as composer, producer, multi-instrumentalist, and writer, creates atmospheric soundscapes with saxophone, organ, hammered dulcimer, electronics, and their voice, as can also be heard on their stunning sophomore record Vesper Sparrow (2025). It is a continuation of their ongoing study into the intersections between music and sound, stuttering, and Blackness, through the lens of time. It is apt that at Rewire 2026, Ellis performs their experimental jazz, spoken word, and improvised musique concrète in the halls of Lutherse Kerk – a place where time has a way of standing still.","{""Instagram"": ""https://www.instagram.com/jjjjjeromeellis/"", ""Website"": ""https://www.jjjjjerome.com/"", ""Bandcamp"": ""https://jjjjjerome.bandcamp.com/""}",Yes
Joshua Chuquimia Crampton,"Blending intricate guitar work with ambient, post-rock, and indigenous influences for an emotive and immersive sound.",,,,,Experimental/Ambient,USA,"Joshua Chuquimia Crampton is an experimental musician and composer known for his intricate guitar work and atmospheric soundscapes. His music blends elements of ambient, post-rock, and indigenous influences, creating a deeply emotive and immersive listening experience.",,https://open.spotify.com/artist/4vV7A3OS088S8Ps2NtTcRO,,,"Joshua Chuquimia Crampton crafts evocative soundscapes that merge experimental guitar techniques with ambient and post-rock textures, often drawing on his indigenous heritage for a unique and introspective musical style.",8,,Male,Yes,,https://www.rewirefestival.nl/artist/joshua-chuquimia-crampton,,"Crashing waves of grunge maximalism and layers of distorted riffs coalesce in the power ambient summonings of Joshua Chuquimia Crampton. The California-based musician and artist, a member of the Great Pakajaqi Nation of Aymara People, has been steadily building a reputation as one of the most exciting experimental guitarists playing today. His debut, The Heart's Wash (2020), is a slow-burning chronicle of vast sounds – from subtle finger-picked lullabies to noise-drenched distortion – all cushioned by a comforting 60 cycle hum. The minimalist warble-phonics of sophomore record 4 (2021) led to the warm psychedelia of Profundo Amor (2023). Chuquimia Crampton's latest album, Estrella Por Estrella (2024), bubbles with the abyssal warmth and low-fidelity of a bedroom black metal that has been stripped of its blast beats – instead worming itself into the listener solely through the potentials of distorted thrumming strings. Chuquimia Crampton also performs at the festival alongside his sibling Chuquimamani-Condori, presenting the duo's much-lauded project Los Thuthanaka.","{""Website"": ""https://www.studiopankara.com/jcc?fbclid=PAZXh0bgNhZW0CMTEAAaeSJYs_lRS053FJWk7z-b0rr0HdlLCRKHyVj7fvR-AYmvGP7ZLoGJMag_yNVg_aem_CXd-lUqjDBPP6poSYUWVFQ"", ""Instagram"": ""https://www.instagram.com/j_chuquimia_crampton/"", ""Bandcamp"": ""https://joshuachuquimiacrampton.bandcamp.com/""}",Yes
Katalin Ladik & Svetlana Maraš,A groundbreaking collaboration blending feminist avant-garde vocal experimentation with cutting-edge electronic soundscapes.,,,,,Experimental/Avant-garde,Yugoslavia,"[using festival bio due to a lack of publicly available data] In an inter-generational collaboration, poet, actress, visual artist, and performer Katalin Ladik performs with composer and experimental sound artist Svetlana Maraš. Ladik's journey into performance began at the end of the 1960s, where her work in poetry led her to work on Hungarian radio plays, which she did until the end of the 1970s. Searching for her own way of self-expression, she began experimental artistic practices and auto-referential performative explorations of the “gendered self” in Yugoslavia, Hungary, and abroad. A compilation of her work across the 70s titled *Phonopoetics* (2019) showcases her unbridled flair for vocal experimentation and creative phonetic fabulations. Ladik, a vanguard of the feminist avant-garde movements in the former Yugoslavia, will present a duo project with Maraš. The duo was formed during Ladik's residency at Radio Belgrade's Electronic Studio in 2019, where Maraš was artistic director. They composed tracks combining voice and the EMS Synthi 100 synthesiser, which were part of the release – *Water Angels* (2021).",,https://open.spotify.com/artist/3ciR6y8MrfMmouhoQu9Pac,,,"Katalin Ladik & Svetlana Maraš combine avant-garde vocal experimentation with cutting-edge electronic soundscapes. Their work, rooted in feminist and experimental traditions, features a unique interplay of Ladik's vocal artistry and Maraš's expertise with the EMS Synthi 100 synthesizer. Their 2021 release *Water Angels* showcases their innovative approach to sound and performance.",8,2,Mixed,No,,https://www.rewirefestival.nl/artist/katalin-ladik--svetlana-maras,,"In an inter-generational collaboration, poet, actress, visual artist, and performer Katalin Ladik performs with composer and experimental sound artist Svetlana Maraš. Ladik's journey into performance began at the end of the 1960s, where her work in poetry led her to work on Hungarian radio plays, which she did until the end of the 1970s. Searching for her own way of self-expression, she began experimental artistic practices and auto-referential performative explorations of the “gendered self” in Yugoslavia, Hungary, and abroad. A compilation of her work across the 70s titled *Phonopoetics* (2019) showcases her unbridled flair for vocal experimentation and creative phonetic fabulations. Ladik, a vanguard of the feminist avant-garde movements in the former Yugoslavia, will present a duo project with Maraš. The duo was formed during Ladik's residency at Radio Belgrade's Electronic Studio in 2019, where Maraš was artistic director. They composed tracks combining voice and the EMS Synthi 100 synthesiser, which were part of the release – *Water Angels* (2021).","{""Instagram"": ""https://www.instagram.com/maras_sound/"", ""Website"": ""https://www.svetlanamaras.com/""}",Yes
KUNTARI,Indonesian duo KUNTARI channels primal-core energy with a fusion of ancient rhythms and experimental soundscapes.,,,,,primal-core,Indonesia,"[using festival bio due to a lack of publicly available data] Taking up the mantle of ""primal-core"" for their chosen genre descriptor, KUNTARI wield a vicious and energetic sound that appears to be extracted from the molten depths of the earth's core. The Indonesian duo of musicians Tesla Manaf and Rio Abror defected from jazz orthodoxy to pursue an otherworldly form of music-making, blending traditional sounds from their homeland with field-recorded soundscapes and pulsing somatic rhythms. They have never sounded better than on their new album MUTU BETON (2025) on label 99CHANTS. Mounting tension and intensity build and dissolve across its enchanting eight tracks, which roar with roto toms, resounding bells, thrumming percussive guitar, and dueling sarons – a single-octave metallophone. Borrowing from tribal Indonesian rhythms resurrected from the sixteenth century, there is a sense of ancient ceremony breathing through KUNTARI's songs. Yet their music sounds too like a presage of a post-collapse world where industrial sounds evaporate into a more urgent, humane timbre.",,https://open.spotify.com/artist/5qK8WYVzvkaBcoe4CDfuyY,,,"KUNTARI is an Indonesian duo that blends traditional Indonesian sounds, field-recorded soundscapes, and primal rhythms to create an experimental and visceral musical style they describe as 'primal-core.' Their music incorporates ancient ceremonial influences, such as sixteenth-century tribal rhythms, and combines them with modern, industrial, and percussive elements. Their 2025 album 'MUTU BETON' showcases their innovative approach, featuring unique instrumentation like dueling sarons and roto toms, creating a sound that is both ancient and futuristic.",8,2,Male,Yes,,https://www.rewirefestival.nl/artist/kuntari,,"Taking up the mantle of ""primal-core"" for their chosen genre descriptor, KUNTARI wield a vicious and energetic sound that appears to be extracted from the molten depths of the earth's core. The Indonesian duo of musicians Tesla Manaf and Rio Abror defected from jazz orthodoxy to pursue an otherworldly form of music-making, blending traditional sounds from their homeland with field-recorded soundscapes and pulsing somatic rhythms. They have never sounded better than on their new album MUTU BETON (2025) on label 99CHANTS. Mounting tension and intensity build and dissolve across its enchanting eight tracks, which roar with roto toms, resounding bells, thrumming percussive guitar, and dueling sarons – a single-octave metallophone. Borrowing from tribal Indonesian rhythms resurrected from the sixteenth century, there is a sense of ancient ceremony breathing through KUNTARI's songs. Yet their music sounds too like a presage of a post-collapse world where industrial sounds evaporate into a more urgent, humane timbre.","{""Instagram"": ""https://www.instagram.com/abrorski/"", ""Bandcamp"": ""https://99chants.bandcamp.com/""}",Yes
Los Thuthanaka,"A sibling duo creating a vibrant, bit-crushed collage of ancestral rhythms and experimental soundscapes.",,,,,Experimental/Plunderphonics,USA,"[using festival bio due to a lack of publicly available data] With Los Thuthanaka, two siblings – Chuquimamani-Condori, who performed at Rewire 2024, and Joshua Chuquimia Crampton, who performs at this year's edition – come together to take listeners into a parallel world of indescribable texture and rhythm. Like being dragged from the wrist by a giddy friend, Los Thuthanaka (2025), the duo's eponymous debut – one of the most impressive albums of the year – takes you into a crowd of sounds, where swirling snare drums, bombos, DJ tags, cheers, and whistles engulf you as the bass drums guide your feet forward. Referencing what they call ayni (or ""reciprocity"" in the Aymara language) to their community for giving them the gift of music, their huayño and caporal rhythms and melodies are emaciated by crusty noise and buried beneath layers and layers of all-consuming sound – creating a bit-crushed collage of hopeful mayhem and joy that draws on ancestral wisdom and traditional sounds while sounding completely new. Their utterly vibrant and undeniably colourful music sounds like plunderphonic experimentalism adapted for these hyper-active times, with a trigger-happy jester on sampler duties and a masterful prankster behind the percussion.",,NOT ON SPOTIFY,,,"Los Thuthanaka is a sibling duo blending traditional Aymara musical elements, such as huayño and caporal rhythms, with experimental and plunderphonic techniques. Their debut album is a vibrant, chaotic, and innovative soundscape that combines ancestral wisdom with modern, bit-crushed noise. Their music is characterized by swirling percussion, DJ tags, and layered textures, creating a unique and joyful auditory experience.",8,2,Mixed,Yes,,https://www.rewirefestival.nl/artist/los-thuthanaka,,"With Los Thuthanaka, two siblings – Chuquimamani-Condori, who performed at Rewire 2024, and Joshua Chuquimia Crampton, who performs at this year's edition – come together to take listeners into a parallel world of indescribable texture and rhythm. Like being dragged from the wrist by a giddy friend, Los Thuthanaka (2025), the duo's eponymous debut – one of the most impressive albums of the year – takes you into a crowd of sounds, where swirling snare drums, bombos, DJ tags, cheers, and whistles engulf you as the bass drums guide your feet forward. Referencing what they call ayni (or ""reciprocity"" in the Aymara language) to their community for giving them the gift of music, their huayño and caporal rhythms and melodies are emaciated by crusty noise and buried beneath layers and layers of all-consuming sound – creating a bit-crushed collage of hopeful mayhem and joy that draws on ancestral wisdom and traditional sounds while sounding completely new. Their utterly vibrant and undeniably colourful music sounds like plunderphonic experimentalism adapted for these hyper-active times, with a trigger-happy jester on sampler duties and a masterful prankster behind the percussion.","{""Instagram"": ""https://www.instagram.com/j_chuquimia_crampton/"", ""Bandcamp"": ""https://losthuthanaka.bandcamp.com/""}",Yes
Mayssa Jallad,"Blending traditional Arabic influences with contemporary indie and alternative sounds, Mayssa Jallad captivates with her evocative voice and poignant lyrics.",,,,,Alternative/Indie,Lebanon,Mayssa Jallad is a Lebanese singer-songwriter known for her evocative voice and poignant lyrics that blend traditional Arabic influences with contemporary indie and alternative sounds.,,https://open.spotify.com/artist/3gwo3aexDXLiYhWICS2Qm3,,,"Mayssa Jallad's music combines heartfelt storytelling with a fusion of Arabic musical traditions and modern indie sensibilities, creating a distinctive and emotionally resonant sound.",8,,Female,Yes,,https://www.rewirefestival.nl/artist/mayssa-jallad,,"Mayssa Jallad's background as an architect and urban researcher shines through in her music: it is intentional, critical, detailed, and thoughtful – drawing on the hidden histories and events buried under the concrete and bustle of Beirut's urban sprawl. She has a particular interest in sharing difficult collective histories with post-war youths who haven't had easy access to the stories of their city – hoping that these tales, told anew in generous musical form, might regenerate or spur on a sense of urgency and change for populations held hostage to their historical violence. Her experimental Arab folk sound features gentle nylon guitar, swells of synthesis, faint treated piano, and, stirring above it all, Jallad's moving vocals – imbued with the wisdom of a storyteller and the sensitivity of a loved one. Her forthcoming album is the follow-up to 2023's Marjaa: The Battle of the Hotels – she presents music from both at Rewire 2026 alongside her trio. It explored an episode of urban warfare at the beginning of the Lebanese Civil War wherein militias fought for domain across Beirut's skyscrapers. Jallad also performs at Rewire 2026 alongside Civilistjävel!.","{""Instagram"": ""https://www.instagram.com/mayssajallad/"", ""Website"": ""https://mayssajallad.com/home-%D8%B1%D8%A6%D9%8A%D8%B3%D9%8A%D8%A9"", ""Bandcamp"": ""https://mayssajallad.bandcamp.com/""}",Yes
ØKSE feat. billy woods,A groundbreaking collaboration blending avant-garde jazz and experimental hip-hop.,,,,,"avant-garde, jazzy",United States,"[using festival bio due to a lack of publicly available data] Rewire presents a rare performance from ØKSE & billy woods. ØKSE is an international group of avant-garde musicians gathered around a boiling pot of wild, jazzy sounds. They're made up of NYC-based drummer Savannah Harris, Danish saxophonist Mette Rasmussen, Haitian electronic musician Val Jeanty, and Swede Petter Eldh on bass, synths, and sampler. billy woods is a NYC rapper who performed at last year's Rewire and was heralded by many as a festival highlight. ØKSE's collaboration with woods emerged from a chance encounter in a quiet Swiss town in 2022, when saxophonist Mette Rasmussen and woods played the same tiny venue. This meeting led to their collaboration, ""Amager,"" a jaunty, high-tempo, bebop-hop track where turntablist breaks meld into live drums while ferocious bass keeps pace and saxophone bellows. As well as this set with ØKSE, woods performs elsewhere at the festival as part of Armand Hammer, his rap duo with ELUCID.",,https://open.spotify.com/artist/5yhyXeSclRO8D0HQNMcvbd,,,"ØKSE feat. billy woods is an innovative collaboration blending avant-garde jazz and hip-hop. ØKSE's lineup of international musicians brings together wild, jazzy improvisation with electronic textures and dynamic rhythms, while billy woods contributes his critically acclaimed, thought-provoking rap. Their track 'Amager' exemplifies their unique sound, combining bebop-inspired saxophone, live drums, and ferocious basslines with turntablist breaks. This partnership highlights their ability to merge experimental and traditional elements into a fresh, high-energy performance.",8,4,Mixed,Yes,,https://www.rewirefestival.nl/artist/%C3%B8kse-feat.-billy-woods,,"Rewire presents a rare performance from ØKSE & billy woods. ØKSE is an international group of avant-garde musicians gathered around a boiling pot of wild, jazzy sounds. They're made up of NYC-based drummer Savannah Harris, Danish saxophonist Mette Rasmussen, Haitian electronic musician Val Jeanty, and Swede Petter Eldh on bass, synths, and sampler. billy woods is a NYC rapper who performed at last year's Rewire and was heralded by many as a festival highlight. ØKSE's collaboration with woods emerged from a chance encounter in a quiet Swiss town in 2022, when saxophonist Mette Rasmussen and woods played the same tiny venue. This meeting led to their collaboration, ""Amager,"" a jaunty, high-tempo, bebop-hop track where turntablist breaks meld into live drums while ferocious bass keeps pace and saxophone bellows. As well as this set with ØKSE, woods performs elsewhere at the festival as part of Armand Hammer, his rap duo with ELUCID.","{""Instagram"": ""https://www.instagram.com/o__kse/"", ""Website"": ""https://www.oookse.com/"", ""Bandcamp"": ""https://okse.bandcamp.com/""}",Yes
Purelink with Mika Oki,"Blending turn-of-the-century ambient traditions with organic, electro-acoustic warmth and radiant visuals.",,,,,ambient,USA,"[using festival bio due to a lack of publicly available data] Tommy Paslaski (aka Concave Reflection), Ben Paulson (aka kindtree), and Akeem Asani (aka Millia) are Purelink. It can be heard in their productions how both trust and experimentation form a guiding principle for the trio. Bringing new meaning to the term ""peer to peer"" music, it's almost as if we, as listeners, are intruding on a special moment of three friends coming together to revel in their creativity and curiosity. Although indebted to a certain turn-of-the-century ambient tradition, the group's music is never dragged down by a rigid sense of ""digital-ness""; instead, its blissful tones bring about a deep sense of the organic and the unpredictable. With an electro-acoustic warmth akin to World of Echo-era Arthur Russell, their songs elicit late nights and early dawns, with ears hugged by headphones as street lights spark into life or begin their sleep. Minimal yet bassy, glitchy yet clear, Purelink's blossoming ambient music bursts with bright texture. At Rewire, they are joined by multidisciplinary artist Mika Oki, who adds radiant scenography and kinetic visuals to the show, which glow as Purelink's music does.",,https://open.spotify.com/artist/2kUrBcfh7PVIivyYGAVjrQ,,,"Purelink is a Chicago-based trio whose music blends turn-of-the-century ambient influences with a modern, electro-acoustic warmth reminiscent of Arthur Russell's World of Echo. Their sound is characterized by minimal yet bass-heavy, glitchy yet clear textures that evoke organic and unpredictable atmospheres. Collaborating with multidisciplinary artist Mika Oki, their live performances are enhanced by radiant scenography and kinetic visuals, creating an immersive experience that mirrors the emotional depth of their music.",8,3,Mixed,Yes,,https://www.rewirefestival.nl/artist/purelink-with-mika-oki,,"Tommy Paslaski (aka Concave Reflection), Ben Paulson (aka kindtree), and Akeem Asani (aka Millia) are Purelink. It can be heard in their productions how both trust and experimentation form a guiding principle for the trio. Bringing new meaning to the term ""peer to peer"" music, it's almost as if we, as listeners, are intruding on a special moment of three friends coming together to revel in their creativity and curiosity. Although indebted to a certain turn-of-the-century ambient tradition, the group's music is never dragged down by a rigid sense of ""digital-ness""; instead, its blissful tones bring about a deep sense of the organic and the unpredictable. With an electro-acoustic warmth akin to World of Echo-era Arthur Russell, their songs elicit late nights and early dawns, with ears hugged by headphones as street lights spark into life or begin their sleep. Minimal yet bassy, glitchy yet clear, Purelink's blossoming ambient music bursts with bright texture. At Rewire, they are joined by multidisciplinary artist Mika Oki, who adds radiant scenography and kinetic visuals to the show, which glow as Purelink's music does.","{""Instagram"": ""https://www.instagram.com/_mika_oki_/"", ""Website"": ""https://mikaoki.com/"", ""Bandcamp"": ""https://purelink.bandcamp.com/""}",Yes
Smerz,Experimental electronic duo from Norway,,,,,Electronic/Pop,Norway,"Smerz is a Norwegian electronic music duo consisting of Catharina Stoltenberg and Henriette Motzfeldt. Known for their experimental approach, they blend elements of pop, R&B, and club music with abstract soundscapes, creating a unique and genre-defying sound.",,https://open.spotify.com/artist/1f8PlfSHEW6fHnILSzm8dI,,,"Smerz crafts a distinctive fusion of electronic, pop, and experimental sounds, often incorporating fragmented beats, ethereal vocals, and avant-garde production. Their innovative approach has earned them recognition in the underground electronic music scene.",8,2,Female,No,,https://www.rewirefestival.nl/artist/smerz-2026,,"Smerz's special brand of off-centre electronic warble pop is carried into the world by the collaborators, songwriters, musicians, and producers Catharina Stoltenberg and Henriette Motzfeldt. The duo's melancholic (and non-bucolic) album Big city life (2025) gathers a vivid collection of minimal SoundFont rock and R&B. With ghostly charm, the album's songs weave a story of romance and recklessness in rain-drenched city streets where puddles glisten with neon and swim with half-smoked cigarettes. Smerz deftly use nostalgia to paint their songs with a wispy curiosity, but their music is anything but backward-looking: they transform familiar sounds into new forms, birthing yet-unheard kinds of poppy sensitivity and open-hearted experimentalism. Like dream sequences, their music lives in the half-light between reality and reverie. At Rewire 2026, Smerz perform their critically acclaimed music accompanied by a band.","{""Instagram"": ""https://www.instagram.com/smerz_/"", ""Bandcamp"": ""https://smerzforyou.bandcamp.com/""}",Yes
Tracey,"Mutant R&B duo blending booty bass, sardonic British playfulness, and eclectic influences.",,,,,R&B,United Kingdom,"[using festival bio due to a lack of publicly available data] Formed in 2024, Tracey is a London-based duo creating mutant R&B unlike anyone else. Imagine booty bass dance music lathered with a frothy layer of sardonic British playfulness; think Miami via Millwall. Their eponymous debut EP arrived as a surprise in the summer of 2025, like a lower-back tattoo after a night on the town. Although it's frontloaded with the undeniable banger ""Sex Life (feat. Riko Dan),"" later in the EP, Tracey reveal their careful, slow, and atmospheric side: from the downtempo brilliance of ""When I Choose to Be Here with You,"" to the touching emo-infused R&B of closer ""Take Care,"" Tracey are full of surprises. 

Followup *Sleazy* (2025) returns to the hyperactive dance arena, borrowing too from PC Music with its colourful acoustics and tight sample style (which, like ""Sex Life,"" has a satisfying Benassi bounciness to its vocal chops). Raunchy yet thoughtful, bassy yet subtle, Tracey create an anomaly of sounds, likely informed by the eclectic influences they cite: among them, Kylie Minogue, Skream, and Crystal Castles.",,https://open.spotify.com/artist/46JnIrUyPdpvYFPpPgRFSb,,,"Tracey is a London-based duo that blends mutant R&B with booty bass and electronic influences, creating a sound described as 'Miami via Millwall.' Their music combines sardonic British playfulness with a mix of hyperactive dance beats, downtempo atmospherics, and emo-infused R&B. Drawing inspiration from artists like Kylie Minogue, Skream, and Crystal Castles, they deliver a unique and innovative sound. Their debut EP, featuring standout tracks like 'Sex Life (feat. Riko Dan)' and 'Take Care,' showcases their ability to balance raunchy, bass-heavy dance music with thoughtful, emotive compositions. Their follow-up project *Sleazy* further explores colorful, PC Music-inspired production and tight vocal sampling, solidifying their reputation as a fresh and exciting act.",8,2,Mixed,,,https://www.rewirefestival.nl/artist/tracey,,"Formed in 2024, Tracey is a London-based duo creating mutant R&B unlike anyone else. Imagine booty bass dance music lathered with a frothy layer of sardonic British playfulness; think Miami via Millwall. Their eponymous debut EP arrived as a surprise in the summer of 2025, like a lower-back tattoo after a night on the town. Although it's frontloaded with the undeniable banger ""Sex Life (feat. Riko Dan),"" later in the EP, Tracey reveal their careful, slow, and atmospheric side: from the downtempo brilliance of ""When I Choose to Be Here with You,"" to the touching emo-infused R&B of closer ""Take Care,"" Tracey are full of surprises. 

Followup *Sleazy* (2025) returns to the hyperactive dance arena, borrowing too from PC Music with its colourful acoustics and tight sample style (which, like ""Sex Life,"" has a satisfying Benassi bounciness to its vocal chops). Raunchy yet thoughtful, bassy yet subtle, Tracey create an anomaly of sounds, likely informed by the eclectic influences they cite: among them, Kylie Minogue, Skream, and Crystal Castles.","{""Instagram"": ""https://www.instagram.com/traceyisyourfriend/"", ""Website"": ""https://tracey.world/"", ""Bandcamp"": ""https://traceyisyourfriend.bandcamp.com/""}",Yes
WRENS,Indie rock pioneers with cult acclaim,,,,,Indie Rock/Alternative Rock,USA,"The Wrens are an influential indie rock band from New Jersey, known for their emotionally resonant lyrics, intricate guitar work, and dynamic songwriting. Their 2003 album 'The Meadowlands' is widely regarded as a classic in the indie rock genre.",,https://open.spotify.com/artist/04cetTUz2JTzXBqFKO5YB5,,,"The Wrens are celebrated for their heartfelt and introspective indie rock, blending melodic complexity with raw emotional depth. Their critically acclaimed album 'The Meadowlands' cemented their reputation as a cornerstone of the indie music scene.",8,4,Male,No,,https://www.rewirefestival.nl/artist/wrens,,"Experimentalist traversers of noisy jazz sounds, WRENS is a quartet made up of musicians Ryan Easter (on trumpet, voice, and words); Jason Nazary (on drums and synths, and who previously played with Saint Abdullah); Elias Stemeseder (on synths and una corda piano); and Lester St. Louis (on cello and electronics, and who performed as part of Amirtha Kidambi's Elder Ones at Rewire 2024). The feverish sophomore album from the group, Half of What You See (2025), provides a vision of a noise-encrusted free jazz rich in diabolic rap sonics. Its spoken word verses and bassy electronic percussion take on mutant hip-hop sounds, while its trumpet and piano tug at traditional jazz lexicons, hoping to tear them apart and use them anew. Their dynamic and improvised approach – as accomplished individual musicians joining together to revel in experimentation – paves the way for an unpredictable outburst of cross-genre magic.","{""Instagram"": ""https://www.instagram.com/mrryaneaster"", ""Bandcamp"": ""https://outofyourheadrecords.bandcamp.com/""}",Yes
Alejandra Cárdenas,"A Peruvian artist blending playful electronics, left-field guitar, and haunting vocals to explore personal and political themes.",Date to be announced,,,,Experimental/Electronic,Peru,"[using festival bio due to a lack of publicly available data] Alejandra Cárdenas's music bursts with curiosity. The Peruvian-born artist began her career in Lima's underground music scene in the 2000s, and her DIY origins are clear to hear in her music: her playful and off-kilter electronics and left-field guitar style are melodically intriguing and brim with the gaiety of someone who is familiar with skirting conventions. Her repertoire of prolific albums has been released under the moniker of Ale Hop by labels such as Nyege Nyege, Buh Records, Karlrecords, and Superpang. Her latest album, A Body Like a Home (2025), marks her first time releasing under her own birth name. It centres on Cárdenas’s own voice, which takes on the dual role of witness and confessor, speaking to political upheaval and change in her home country. From collage-like field recordings and spoken word to haunting violin (guest performed on the recording by Amor Muere's Gibrana Cervantes) and whirring electronics, Cárdenas's confessional songs are moving and personal while also feeling abstract and uncanny. Alejandra Cárdenas will be joined live by Gibrana Cervantes on violin and Ignacio Briceño on guitar.",,https://open.spotify.com/artist/5FJccKnMla1gVcyeILkV49,,,"Alejandra Cárdenas creates experimental and boundary-pushing music that blends playful, off-kilter electronics, left-field guitar, and collage-like field recordings. Her work often explores personal and political themes, with her latest album, 'A Body Like a Home,' incorporating her own voice alongside haunting violin and abstract soundscapes. Her music is both emotionally resonant and avant-garde, showcasing her roots in Lima's underground scene and her DIY ethos.",8,3,Female,Yes,,https://www.rewirefestival.nl/artist/alejandra-cardenas,,"Alejandra Cárdenas's music bursts with curiosity. The Peruvian-born artist began her career in Lima's underground music scene in the 2000s, and her DIY origins are clear to hear in her music: her playful and off-kilter electronics and left-field guitar style are melodically intriguing and brim with the gaiety of someone who is familiar with skirting conventions. Her repertoire of prolific albums has been released under the moniker of Ale Hop by labels such as Nyege Nyege, Buh Records, Karlrecords, and Superpang. Her latest album, A Body Like a Home (2025), marks her first time releasing under her own birth name. It centres on Cárdenas’s own voice, which takes on the dual role of witness and confessor, speaking to political upheaval and change in her home country. From collage-like field recordings and spoken word to haunting violin (guest performed on the recording by Amor Muere's Gibrana Cervantes) and whirring electronics, Cárdenas's confessional songs are moving and personal while also feeling abstract and uncanny. Alejandra Cárdenas will be joined live by Gibrana Cervantes on violin and Ignacio Briceño on guitar.","{""Instagram"": ""https://www.instagram.com/ale_hophop/"", ""Website"": ""https://alehophop.com/"", ""Bandcamp"": ""https://alehop.bandcamp.com/""}",Yes
