Artist,Tagline,Day,Start Time,End Time,Stage,Genre,Country,Bio,Website,Spotify,YouTube,Instagram,AI Summary,AI Rating,Number of People in Act,Gender of Front Person,Front Person of Color?,Cancelled,Festival URL,Festival Bio (NL),Festival Bio (EN),Social Links,Images Scraped
Hide,,,,,,Alternative rock/Industrial rock,Japan,"Hide was a Japanese musician, singer, and songwriter best known as the guitarist for the influential rock band X Japan. He also had a successful solo career, blending elements of alternative rock, industrial, and electronic music, and is regarded as a pioneer in the Japanese visual kei movement.",,,,,"Hide's innovative fusion of alternative rock, industrial, and electronic elements, combined with his flamboyant visual kei aesthetic, made him a trailblazer in Japanese rock. His work with X Japan and as a solo artist has left a lasting legacy on the global rock and visual kei scenes.",9,,Male,Yes,,https://www.grauzonefestival.nl/hide,,"We’re excited to presentHIDE, the uncompromising electronic duo from Chicago. Since 2014, Heather Gabel and Seth Sher have been forging a sound that blends noise, sound collage, and performance art into something uniquely visceral. With three full-length albums on Dais Records (Drab Majesty, TR/ST, Riki, Adult.), a 7"" on Sub Pop, and an EP on Joyful Noise, HIDE has carved out their place in the underground as one of the most confrontational and arresting acts in modern electronic music.",,No
Tomo Katsurada & Jonny Nash,,,,,,Ambient/Experimental,Japan/UK,"Tomo Katsurada, a member of the Japanese band Kikagaku Moyo, and Jonny Nash, a British ambient musician and producer, collaborate to create introspective and atmospheric soundscapes blending acoustic and electronic elements. Their work explores minimalism and texture, drawing from folk traditions and ambient music.",,,,,"The duo's music combines Katsurada's intricate folk-inspired guitar work with Nash's expertise in ambient production, resulting in a meditative and immersive listening experience that bridges cultural and musical boundaries.",8,2,Male,Yes,,https://www.grauzonefestival.nl/tomo-jonny,,"We are thrilled to present Tomo & Jonny at Grauzone, an intimate project led by Japanese artist Tomo Katsurada, best known as the founding member, guitarist of the internationally acclaimed psychedelic band Kikagaku Moyo. After years of shaping one of the most influential psych-rock acts of the past decade—and performing at Grauzone with Damo Suzuki of CAN—Tomo has embarked on a deeply personal new artistic journey.",,No
Slash Need,,,,,,industrial electronic,Canada,"[using festival bio due to a lack of publicly available data] Slash Need is an industrial electronic and performance art duo from Toronto, led by Dusty Lee and Alex Low. Known for their confrontational live shows, the group merges dark electronica with dancers, elaborate makeup, and provocative visuals, creating an immersive spectacle that is as unsettling as it is liberating.Their songs slither, satirize, and scream—sonically aligned with the likes of Boy Harsher, Ministry, and Skinny Puppy. With synth-punk melodies and raw, primal vocals, Slash Need channel a collective rage against systems of power, transforming it into a defiant form of liberation.",,https://open.spotify.com/artist/5takkgqbLe2iOg02wbdcyl,,,,,2,,,,https://www.grauzonefestival.nl/slash-need,,"Slash Need is an industrial electronic and performance art duo from Toronto, led by Dusty Lee and Alex Low. Known for their confrontational live shows, the group merges dark electronica with dancers, elaborate makeup, and provocative visuals, creating an immersive spectacle that is as unsettling as it is liberating.Their songs slither, satirize, and scream—sonically aligned with the likes of Boy Harsher, Ministry, and Skinny Puppy. With synth-punk melodies and raw, primal vocals, Slash Need channel a collective rage against systems of power, transforming it into a defiant form of liberation.",,No
Forever Grey,,,,,,Darkwave/Post-Punk,USA,"Forever Grey is a Michigan-based darkwave duo known for their melancholic soundscapes, blending brooding synths, minimalist beats, and haunting vocals. They have gained a dedicated following in the underground post-punk and darkwave scenes.",,https://open.spotify.com/artist/3HSpbkijRqVAa1bn0hyEfz,,,"Forever Grey's music is characterized by its atmospheric and introspective sound, combining elements of 80s-inspired post-punk with modern darkwave aesthetics. Their emotionally resonant lyrics and moody production have cemented their place as a standout act in the genre.",8,2,Mixed,No,,https://www.grauzonefestival.nl/forever-grey,,"Forever Grey is a darkwave band based out of Los Angeles, California. The first EP Poems About Eternity was released in spring of 2015 when the band was located in Grand Rapids, Michigan. The project published five cassettes in 2015 that were eventually released as the album Boundaries. Autumn Calling was released on New York based noise label Prime Ruin in 2016. The band toured in the United States, Canada and Mexico around this time. Alabaster Chamber is arguably the most important album and features the song The Style is Death. Released in 2016 by Poland based label Bat-Cave Productions. The record Departed came out on Young & Cold Records, Berlin based label in March 2020. Kevin Czarnik is the artist behind projects such as Milliken Chamber, Prudence and Belladonna Grave. Sam Kubiak is a founding member of Forever Grey. Anna Schmidt performs live and helped record the latest album Sympathy Garden.InstagramBandcampSpotifyDate: tbcLocation:tbc",,No
DJ Carmilla Sioux,,,,,,"dark wave, EBM, electro, industrial, dark techno",Spain,"[using festival bio due to a lack of publicly available data] Barcelona-based DJ and producerCarmilla Siouxcrafts dark and magnetic soundscapes, blending dark wave, EBM, electro, industrial and dark techno into sets that feel both ritualistic and cathartic. She has become a key figure in Barcelona’s underground, performing in clubs such as Moog, Sidecar, Freedonia and Meteoro, while also appearing internationally in Berlin and Malta.",,,,,,,1,she,,,https://www.grauzonefestival.nl/carmilla-sioux,,"Barcelona-based DJ and producerCarmilla Siouxcrafts dark and magnetic soundscapes, blending dark wave, EBM, electro, industrial and dark techno into sets that feel both ritualistic and cathartic. She has become a key figure in Barcelona’s underground, performing in clubs such as Moog, Sidecar, Freedonia and Meteoro, while also appearing internationally in Berlin and Malta.",,No
Vals Alarm,,,,,,,Netherlands,"[using festival bio due to a lack of publicly available data] In just two years,Vals Alarmhas become an undeniable force in the Dutch alternative scene. Exploding onto stages with a mix of sharp-edged attitude, genre-blurring songwriting, and pure live chaos, the band quickly built a reputation for shows that feel like controlled mayhem. After a whirlwind summer playing high-energy sets atBest Kept Secret, MadNes, Wildeburg, and supportingGoldbandin a sold-outZiggo Dome, the band entered a new chapter with the release of their second EPDON’T PANIC(October 24).",,,,,,,,,,,https://www.grauzonefestival.nl/valsalarm,,"In just two years,Vals Alarmhas become an undeniable force in the Dutch alternative scene. Exploding onto stages with a mix of sharp-edged attitude, genre-blurring songwriting, and pure live chaos, the band quickly built a reputation for shows that feel like controlled mayhem. After a whirlwind summer playing high-energy sets atBest Kept Secret, MadNes, Wildeburg, and supportingGoldbandin a sold-outZiggo Dome, the band entered a new chapter with the release of their second EPDON’T PANIC(October 24).",,No
Fit,,,,,,post-punk,Netherlands,[using festival bio due to a lack of publicly available data] The Utrecht-based post-punk bandFIThas built a fierce reputation over the past year and a half with their explosive live shows and uncompromising energy. Their sound — a raw collision of punk urgency and funk-infused rhythm — rejects polish in favor of pure intensity.,,https://open.spotify.com/artist/5g5saPpzD7SlWFFLQXA0Mf,,,,,,,,,https://www.grauzonefestival.nl/fit,,The Utrecht-based post-punk bandFIThas built a fierce reputation over the past year and a half with their explosive live shows and uncompromising energy. Their sound — a raw collision of punk urgency and funk-infused rhythm — rejects polish in favor of pure intensity.,,No
Subject Sue,,,,,,"dark synthwave, ethereal techno, cinematic soundscapes",,"[using festival bio due to a lack of publicly available data] Subject Sue is a producer and performer crafting dystopian nightclub music that merges dark synthwave, ethereal techno, and cinematic soundscapes. Her sound is textured, atmospheric, and emotionally charged—pulsating synthesizers, spectral harmonies, and percussive elements that evoke a feverish sense of dreamlike tension.",,,,,,,1,female,,,https://www.grauzonefestival.nl/subject-sue,,"Subject Sue is a producer and performer crafting dystopian nightclub music that merges dark synthwave, ethereal techno, and cinematic soundscapes. Her sound is textured, atmospheric, and emotionally charged—pulsating synthesizers, spectral harmonies, and percussive elements that evoke a feverish sense of dreamlike tension.",,No
Lydia Lunch’S Big Sexy Noise,,,,,,Noise rock/Blues rock,USA,"Lydia Lunch’s Big Sexy Noise is a collaboration between iconic no wave artist Lydia Lunch and members of the British band Gallon Drunk, blending raw, abrasive noise rock with elements of blues and jazz. Known for their intense live performances and Lunch's confrontational vocal delivery, the group has carved a niche in the experimental rock scene.",,,,,"Lydia Lunch’s Big Sexy Noise delivers a visceral mix of noise rock and blues, driven by Lydia Lunch's provocative vocals and the band's gritty instrumentation. Their music is a powerful exploration of raw emotion and sonic intensity, resonating with fans of avant-garde and experimental rock.",8,4,Female,No,,https://www.grauzonefestival.nl/lydias-lunch-big-sexy-noise,,"A true icon of underground music,Lydia Lunchreturns to Grauzone withBig Sexy Noise—her band with James Johnston (Nick Cave, PJ Harvey, Faust) and Ian White (Barry Adamson, Gallon Drunk). It’s the original lineup, reunited after years apart, and their raw, unapologetic sound promises to shake the walls once again.",,No
Dj’S: The Hacker B2B Alessandro Adriani,,,,,,Techno/Electronic,France/Italy,"The Hacker, a French electronic music producer known for his dark, industrial techno sound, collaborates with Alessandro Adriani, an Italian DJ and producer celebrated for his experimental and retro-futuristic approach to electronic music. Together, they bring a unique blend of industrial, EBM, and techno influences to their B2B performances.",,,,,"The Hacker and Alessandro Adriani merge their distinct styles—dark, industrial techno and experimental, retro-futuristic electronic music—into a compelling and innovative live experience that pushes the boundaries of the genre.",8,,Male,No,,https://www.grauzonefestival.nl/the-hackeralessandroadriani,,"What began as a B2B DJ set between two like-minded, seasoned veterans organically developed into a full force enthralling studio project and live set. Amato & Adriani is the new found project by Michel Amato, more commonly known as influential artist The Hacker, and producer and Mannequin Records label head honcho Alessandro Adriani. The collaboration fuses contemporary ideas with the duo's shared love for electro, EBM, Wave and the natural synergy to be found in the creative moment. Each artists production style and philosophy, when combined, elevates something new in one and other. The result, an innovative hybrid of classic sounds fueled by two creative forces working in pure synchronisation. Their debut EP, ‘Pr.sence Du Futurʼ, is set to be released by Mannequin in June 2019 and includes a special collaboration with Cabaret Voltaire singer (and founder); Stephen Malinder. A limited recording project, existing only in the now, a snapshot in time.By re-imagining their studio sessions with stripped-down, muscular sounds, foggy atmospheres and tantalizing stroboscope workouts the pair have created a show of epic proportions; Amato & Adriani are ready to bring the heat to any basement club or festival stage.The HackerAlessandro AdrianiDate: tbcTime: tbcLocation: tbc",,No
Nghtcrwlr,,,,,,Experimental/Noise,USA,"Nghtcrwlr is the experimental noise project of Kristin Hayter, also known as Lingua Ignota. The project explores themes of trauma and catharsis through abrasive soundscapes and unconventional compositions.",,,,,"Nghtcrwlr's music is an intense exploration of noise and experimental sound, characterized by its raw emotional depth and unflinching confrontation of difficult themes. The project pushes boundaries with its innovative approach to sound design and thematic storytelling.",8,,Female,No,,https://www.grauzonefestival.nl/nghtcrwlr,,"NGHTCRWLR is the visceral solo project of Los Angeles– and New York–based artistKris Esfandiari, widely known as the voice behind the doom-gaze phenomenonKing Woman, but also featured in the short film The Runner made by Boy Harsher.  With NGHTCRWLR, Esfandiari dives into a darker, club-driven universe where industrial noise, dystopian electronics, and experimental sound design collide. Her latest albumOZ, released on the forward-thinking Swedish label YEAR0001, marks her most ambitious work yet—an apocalyptic, beat-heavy exploration of identity, desire, and disorientation.",,No
Özgur Baba,,,,,,Folk/World,Turkey,"Özgur Baba is a Turkish musician known for his mastery of the bağlama, a traditional stringed instrument, and his soulful renditions of Anatolian folk music. His music often features minimalist arrangements and deeply spiritual themes, drawing from Sufi traditions and Turkish folklore.",,,,,"Özgur Baba's music is characterized by its meditative and minimalist approach, blending traditional Anatolian folk melodies with a spiritual depth that resonates deeply with listeners. His skillful bağlama playing and emotive vocal delivery create a timeless and introspective sound.",8,,Male,Yes,,https://www.grauzonefestival.nl/ozgur-baba,,"We’re delighted to welcome back hypnotic Turkish folk singerÖzgür Baba, who made his Dutch debut at Grauzone in 2020. This time, his performance will take place in a truly special setting, highlighting the depth and intimacy of his music.",,No
The Discussion,,,,,,post-punk,,"[using festival bio due to a lack of publicly available data] The Discussion, the brainchild of Laura Pleasants (ex-Kylesa), is gearing up for something very special: theirfirst-ever European performanceat Grauzone 2026. The Discussion was founded to mark the start of a new creative chapter following a 15-year stint with seminal heavy band Kylesa. Wanting to reconnect with her post-punk and alt-rock roots while refining her songwriting, Laura set to work, refining the concept through some solo experimentation before releasing her debut EP. Following another couple years of marination during which she released a 7” and played a handful of shows, Laura decided to go all in on The Discussion, joining forces with Jason Corbett fromACTORSin 2023 and recording her first full-length album shortly after. Building on the groundwork laid by the legends of first-wave post-punk, dark romantic new wave and goth with a distinctly modern approach that nods to the wider canons of shoegaze and death rock, The Discussion has rapidly hooked a diverse and growing fanbase with its genre-bending, decidedly dark sonic identity and lyrical content. We’re thrilled to host this exclusive European debut and witness the powerful live experience of The Discussion for the first time on our stage.",,,,,,,,female,,,https://www.grauzonefestival.nl/the-discussion,,"The Discussion, the brainchild of Laura Pleasants (ex-Kylesa), is gearing up for something very special: theirfirst-ever European performanceat Grauzone 2026. The Discussion was founded to mark the start of a new creative chapter following a 15-year stint with seminal heavy band Kylesa. Wanting to reconnect with her post-punk and alt-rock roots while refining her songwriting, Laura set to work, refining the concept through some solo experimentation before releasing her debut EP. Following another couple years of marination during which she released a 7” and played a handful of shows, Laura decided to go all in on The Discussion, joining forces with Jason Corbett fromACTORSin 2023 and recording her first full-length album shortly after. Building on the groundwork laid by the legends of first-wave post-punk, dark romantic new wave and goth with a distinctly modern approach that nods to the wider canons of shoegaze and death rock, The Discussion has rapidly hooked a diverse and growing fanbase with its genre-bending, decidedly dark sonic identity and lyrical content. We’re thrilled to host this exclusive European debut and witness the powerful live experience of The Discussion for the first time on our stage.",,No
Eat - Girls,,,,,,post-punk,France,"[using festival bio due to a lack of publicly available data] Lyon post-punk trio eat-girlschannel a playful yet cutting mix ofminimal synth, post-punk, kraut, dub, and pop. Still writing and recording in their bedrooms while finishing their studies, the band has already begun making waves internationally with a handful of shows abroad.",,,,,,,3,,,,https://www.grauzonefestival.nl/eat-girls,,"Lyon post-punk trio eat-girlschannel a playful yet cutting mix ofminimal synth, post-punk, kraut, dub, and pop. Still writing and recording in their bedrooms while finishing their studies, the band has already begun making waves internationally with a handful of shows abroad.",,No
Pôt-Pot,,,,,,psych/kosmische,Portugal,"[using festival bio due to a lack of publicly available data] We are excited to welcomePôt-potto Grauzone, a rising Lisbon-based psych/kosmische quintet of Irish musicians whose hypnotic fusion ofkrautrockrhythms,psychedelicglow, harmonium drones, hypnotic male–female vocal harmonies and layered textures has quickly earned them international attention.",,,,,,,5,Mixed,,,https://www.grauzonefestival.nl/pot-pot,,"We are excited to welcomePôt-potto Grauzone, a rising Lisbon-based psych/kosmische quintet of Irish musicians whose hypnotic fusion ofkrautrockrhythms,psychedelicglow, harmonium drones, hypnotic male–female vocal harmonies and layered textures has quickly earned them international attention.",,No
Die Spitz,,,,,,Punk/Alternative Rock,USA,"Die Spitz is an all-female punk rock band from Austin, Texas, known for their raw energy, aggressive sound, and dynamic live performances that channel the spirit of classic punk with a modern edge.",,https://open.spotify.com/artist/0zfZmpHTu0MlkkNr5KHeXE,,,"Die Spitz delivers a ferocious blend of punk and alternative rock, marked by high-energy performances and a rebellious, unapologetic attitude. Their music captures the raw essence of punk while incorporating contemporary influences, making them a standout act in the modern punk scene.",8,4,Female,No,,https://www.grauzonefestival.nl/die-spitz,,"Future superstars Die Spitz are ready to set the world ablaze! Hailed as “the best new band in the world,” “the most exciting new rock band on the planet” (NME), and “nothing short of fucking awesome,” the Texas quartet are taking the global music scene by storm.",,No
Ditz,,,,,,Post-punk/Noise Rock,UK,"Ditz is a Brighton-based post-punk band known for their abrasive sound, blending noise rock elements with politically charged lyrics and intense live performances. They have gained attention for their raw energy and confrontational style, making them a standout act in the UK underground music scene.",,,,,"Ditz delivers a visceral mix of post-punk and noise rock, characterized by chaotic guitar riffs, aggressive vocals, and a politically charged ethos. Their live shows are renowned for their intensity and unpredictability, cementing their reputation as a bold and uncompromising act in the UK music scene.",8,5,Male,No,,https://www.grauzonefestival.nl/ditz,,"Queer noise-punk outfitDITZfirst played Grauzone several years ago, and we’re excited to welcome them back as one of the UK’s most uncompromising live bands. Based in Brighton, the group draws on the abrasive energy of The Jesus Lizard and Shellac, while embracing the jagged post-punk of The Fall and the modern intensity of Gilla Band and Model/Actriz.",,No
The Chisel,,,,,,Oi!/Punk,UK,"The Chisel is a UK-based band blending the raw energy of Oi! and punk with politically charged lyrics, delivering a powerful and aggressive sound. Known for their high-energy live performances, they have quickly gained recognition in the punk scene.",,https://open.spotify.com/artist/20jscDXkBqf0euv7zSsyTx,,,"The Chisel's fusion of Oi! and punk, combined with their socially conscious lyrics, creates a visceral and authentic sound that resonates with fans of raw, politically driven music. Their live shows are celebrated for their intensity and connection with audiences.",8,5,Male,No,,https://www.grauzonefestival.nl/the-chisel,,"Straight from the same UK punk underground that birthedHigh Vis,who blew the roof off Grauzone 2025.The Chiselare one of the most urgent and unrelenting voices in today’s new wave of British punk. Their sound fuses the raw energy of UK82 street punk with hardcore grit and catchy pub-rock melodies, channeling influences like Blitz and Angelic Upstarts",,No
DJ Zaatar,,,,,,"EBM, New Beat, Trance",Morocco,"[using festival bio due to a lack of publicly available data] From Morocco to France to some of Europe’s most iconic stages,Zaatarhas been redefining what body music can sound like. Blending her Moroccan heritage with EBM, New Beat, and Trance, she has quickly emerged as one of the most exciting new forces in the scene.",,,,,,,1,she,Yes,,https://www.grauzonefestival.nl/zaatar,,"From Morocco to France to some of Europe’s most iconic stages,Zaatarhas been redefining what body music can sound like. Blending her Moroccan heritage with EBM, New Beat, and Trance, she has quickly emerged as one of the most exciting new forces in the scene.",,No
The None,,,,,,post-hardcore,,"[using festival bio due to a lack of publicly available data] One of the most exciting bands around right now, The NONE are a lean, mean, fighting punk rock machine – a furious and intense new outfit that’s already proving to be the real deal. Formed from members of Bloc Party, Cassels, Frauds and more, The NONE’s sound is a collapsing, industrial-tinged post-hardcore racket honed through a string of explosive live shows in 2024.",,,,,,,,,,,https://www.grauzonefestival.nl/the-none,,"One of the most exciting bands around right now, The NONE are a lean, mean, fighting punk rock machine – a furious and intense new outfit that’s already proving to be the real deal. Formed from members of Bloc Party, Cassels, Frauds and more, The NONE’s sound is a collapsing, industrial-tinged post-hardcore racket honed through a string of explosive live shows in 2024.",,No
DJ Graaf Drankula,,,,,,,Netherlands,"[using festival bio due to a lack of publicly available data] Graaf Drankula, one of Jordi Ariza Gallego's alter egos, is the theatrical deejay better known as one of the founders of the Amsterdam queer family UltraSexi. Under this banner, notorious queer nights were organized such as M.U.L.T.I.S.E.X.I. and the slightly hysterical pop-culture party F*CKING POP QUEERS! As a disc jockey, the Count fills the dance floor with intense queer love beats, carefree yet manic, taken on a homo-eclectic journey across genres and eras.",,,,,,,,,,,https://www.grauzonefestival.nl/graaf-drankula,,"Graaf Drankula, one of Jordi Ariza Gallego's alter egos, is the theatrical deejay better known as one of the founders of the Amsterdam queer family UltraSexi. Under this banner, notorious queer nights were organized such as M.U.L.T.I.S.E.X.I. and the slightly hysterical pop-culture party F*CKING POP QUEERS! As a disc jockey, the Count fills the dance floor with intense queer love beats, carefree yet manic, taken on a homo-eclectic journey across genres and eras.",,No
Avishagc Rodrigues,,,,,,post-punk,United States,"[using festival bio due to a lack of publicly available data] We’re proud to presentAvishag Cohen Rodriguesat Grauzone and will perform her very first Dutch show. Known as the guitarist of New York’s rising post-punk bandCumgirl8(4AD), Rodrigues is also a multi-instrumentalist, producer, and solo artist with a deeply personal sound.",,,,,,,1,,,,https://www.grauzonefestival.nl/avishag-c-rodrigues,,"We’re proud to presentAvishag Cohen Rodriguesat Grauzone and will perform her very first Dutch show. Known as the guitarist of New York’s rising post-punk bandCumgirl8(4AD), Rodrigues is also a multi-instrumentalist, producer, and solo artist with a deeply personal sound.",,No
Primal Baby,,,,,,,,,,,,,,,,,,,https://www.grauzonefestival.nl/primal-baby,,,,No
Jehnny Beth,,,,,,Post-punk/Art Rock,France,"Jehnny Beth is a French musician, singer, and songwriter best known as the frontwoman of the post-punk band Savages. She has also released solo work, blending dark, brooding art rock with experimental and electronic elements, and has collaborated with artists like Gorillaz and Trentemøller.",,,,,"Jehnny Beth's music is characterized by its intense, visceral energy and a blend of post-punk rawness with avant-garde and electronic influences. Her commanding stage presence and collaborations with prominent artists have solidified her reputation as a bold and innovative force in modern music.",8,,Female,No,,https://www.grauzonefestival.nl/jehnny-beth,,"After playing one of her first-ever solo shows (on piano) at Grauzone 2017, we are thrilled to welcome back Jehnny Beth — this time with her full band!",,No
